	ISOMap	MDS	PCA: 1,2	PCA: 1,3	PCA: 2,3	Spectral Embedding	tSNE10	tSNE30
HALLMARK_MYC_TARGETS_V1	0	0	0	0	0	0	-0.31701	-0.24747
HALLMARK_MYC_TARGETS_V2	0	0	0	0	-0.05134	0	-0.69003	-0.43224
HALLMARK_HYPOXIA	-2.78792	-0.9103	-2.45109	-0.43102	0	-1.59805	-0.04144	-0.6167
HALLMARK_SPERMATOGENESIS	0	-0.1326	0	-0.0715	-0.71519	0	-0.46423	-0.29237
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.20381	-0.57499	0	-0.38111	-0.94375	-0.37437	-1.22486	-2.15283
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-6.09369	-4.90552	-8.49145	-3.67776	-0.06048	-3.5262	-1.28393	-2.63628
HALLMARK_DNA_REPAIR	-0.16137	-0.17677	-0.11559	-0.15075	-0.46382	-0.01335	-0.68986	-0.63443
HALLMARK_E2F_TARGETS	0	0	0	0	0	0	-0.08632	-0.00553
HALLMARK_IL6_JAK_STAT3_SIGNALING	-2.89859	-2.24748	-2.62232	-1.89176	-0.17667	-2.42641	-1.47146	-1.95499
HALLMARK_PROTEIN_SECRETION	-0.98147	-1.32384	-1.35571	-1.85334	-2.02319	-1.07254	-1.23456	-1.60401
HALLMARK_APOPTOSIS	-8.50549	-7.47283	-6.9841	-4.25215	-0.01818	-6.35916	-1.67076	-3.60639
HALLMARK_ANDROGEN_RESPONSE	-0.72908	-0.91588	-1.16005	-1.1788	-0.16094	-0.78546	-0.79341	-1.06061
HALLMARK_KRAS_SIGNALING	0	0	0	0	0	0	0	0
HALLMARK_COMPLEMENT	-4.99	-4.17764	-5.36401	-5.49538	-1.60259	-5.55642	-1.40441	-2.24668
HALLMARK_APICAL_JUNCTION	-0.94596	-0.80754	-0.77192	-0.89135	-0.11714	-0.79355	-0.90395	-0.86675
HALLMARK_ESTROGEN_RESPONSE_EARLY	-3.9453	-2.8111	-2.77976	-2.18988	-0.12407	-3.95904	-0.94667	-1.9974
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.28623	-0.2979	-0.19868	-0.74863	-0.8664	-0.17434	-0.55676	-0.56689
HALLMARK_G2M_CHECKPOINT	0	0	0	0	0	0	-0.09233	0
HALLMARK_APICAL_SURFACE	-0.09538	-0.1359	-0.18527	-0.28127	-0.11114	-0.12721	-0.16095	-0.12943
HALLMARK_XENOBIOTIC_METABOLISM	-2.24922	-2.38246	-2.82287	-3.07272	-1.71998	-2.13663	-1.97656	-2.73044
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	0	0	0	0	0	0	0
HALLMARK_GLYCOLYSIS	-0.06776	-0.08604	-0.24869	-0.17233	-0.11792	0	-0.86552	-0.69171
HALLMARK_UV_RESPONSE	0	0	0	0	0	0	-0	0
HALLMARK_COAGULATION	-8.03706	-5.85904	-10.77927	-7.65056	-0.99831	-6.65382	-2.09041	-4.5937
HALLMARK_HEDGEHOG_SIGNALING	0	0	0	0	0	0	0	0
Zero_Proportion	-91.43852	-129.53066	-123.11463	-226.96732	-81.19728	-96.90903	-141.47476	-169.51267
