	PC 1	PC 2	PC 3
ERCC3	0.01868	0.01286	0.01324
EZR	0.08097	-0.03796	-0.01687
FABP5	-0.01033	0.17407	0.07826
FAM70A	0.0538	-0.04624	0.03422
FAM107A	0.10019	-0.09509	0.01575
FANCI	-0.04565	-0.03511	0.05171
FBXO32	0.04635	-0.02236	-0.03302
FEN1	-0.02435	-0.03681	0.05424
FGF1	0.01871	-0.02507	0.10175
FIBIN	-0.01116	-0.0117	0.04982
FIG4	0.02273	-0.01203	0.00165
FIGNL1	-0.03773	-0.03881	0.17196
FKBP15	0.00772	0.03858	-0.00337
FLRT3	0.01246	0.06979	0.00119
FMNL3	-0.03427	-0.03453	-0.0021
FN1	0.09652	-0.02873	-0.05618
FXYD6	-0.01464	-0.07091	0.04454
GALNT7	0.00782	0.02922	0.03666
GAP43	0.07569	0.07908	0.01298
GBA	0.0575	0.05238	0.03819
GBP1	0.12024	-0.01904	-0.03778
GBP2	0.1025	-0.02397	-0.05076
GDPD2	0.062	-0.06208	0.01382
GEM	0.09416	-0.0081	-0.01606
GFAP	0.13357	-0.06233	0.02819
GFPT2	0.06541	0.0482	-0.02378
GLB1	0.01629	0.04193	0.05221
GLCE	-0.01164	0.057	0.02348
GLIPR1	0.11761	0.00135	-0.06503
GMPR2	0.0319	-0.00515	0.02252
GNA13	0.00875	0.01835	-0.00524
GNG2	-0.00669	-0.05757	-0.01039
GOT1	0.00477	0.00321	0.0384
GPRASP1	0.00398	0.04064	-0.01941
GPS1	-0.00786	-0.01281	0.00347
GPX3	0.00484	0.06065	-0.06126
GRIA4	-0.08173	-0.05678	0.07928
GRN	0.03075	0.02435	0.03603
GSN	0.0374	-0.01397	-0.03862
GSS	0.02439	0.0111	0.02942
GYG1	0.008	0.02391	0.04067
HAS2	0.06153	-0.04905	-0.02779
HEPN1	0.04316	-0.0377	0.06569
HIF1A	0.0353	-0.03371	0.06139
HILPDA	0.01749	0.01028	-0.1317
HINFP	-0.01175	0.00079	0.04086
HMBS	0.01956	-0.01982	0.0475
HMG20A	-0.03891	-0.00223	0.02145
HMGCR	-0.0136	-0.00366	0.08577
HOPX	0.05114	0.04474	0.19845
HRH1	0.08067	-0.01167	0.02177
HSPA9	-0.017	0.0177	0.02449
ICAM1	0.04224	0.00562	-0.04719
ID2	0.06456	0.00455	-0.06527
ID3	0.12005	-0.06887	0.01397
IFI44L	0.05062	-0.0503	0.02676
IFIT2	0.03165	0.00049	-0.00745
IFT46	0.03424	0.01704	0.01825
IGFBP3	-0.02813	0.13397	-0.02823
IL1RAP	-0.02215	0.06674	-0.04719
ILVBL	0.01773	0.017	-0.024
IVNS1ABP	0.00029	0.03103	0.00977
JAM3	0.00479	0.03348	0.02077
KANSL2	-0.01747	0.00689	0.0512
KAT7	-0.02015	0.01328	0.01592
KBTBD4	0.00364	0.02366	0.05947
KIAA0040	0.05284	0.0038	-0.00879
KLF6	0.05331	0.00589	0.01553
KLF10	0.066	-0.02448	0.02377
KLHDC3	-0.00054	-0.00822	0.00861
KLHL4	-0.04274	0.0472	0.16397
KLHL12	0.02173	0.00558	-0.00185
KPNA2	0.0146	-0.02585	0.06384
LAMP2	0.03804	0.0141	0.01933
LANCL2	-0.08959	-0.06873	-0.07901
LGALS3BP	0.02226	0.05699	-0.01491
LHFPL3	-0.02302	-0.11054	-0.08371
LMAN2L	0.04428	-0.02192	0.02623
LMO3	0.00343	0.07107	-0.01787
LOXL3	0.03204	-0.00241	-0.00637
LPL	-0.00024	0.04465	0.02764
LRP4	-0.0683	-0.0179	0.04419
LRRC41	0.00609	-0.00217	0.01618
LRRN3	0.02474	-0.01502	0.0959
LRRTM2	-0.03489	0.02339	0.06741
LYSMD3	0.01416	0.03075	0.00143
MAGED1	-0.0069	-0.03653	0.05794
MAOB	0.10608	-0.00876	0.00098
MAP1A	0.01767	-0.01823	0.01866
MARS	0.00497	0.01332	0.01391
MASP1	0.01538	-0.10304	0.01477
MAT2A	0.00104	-0.00767	0.04354
MBP	0.00978	-0.04809	-0.06307
MCM4	-0.03045	0.00491	0.03774
MCM5	-0.03796	0.00081	0.02697
MCM7	-0.03105	-0.00317	-0.00175
MEG3	-0.07878	0.09438	0.05978
METTL7B	-0.04215	0.12088	0.20594
MFAP3	0.00084	0.03934	0.06527
MFAP4	0.01544	-0.03433	0.0147
MGST1	0.11018	-0.03036	-0.00177
MIR198	0.07821	-0.03669	0.08457
MIR3917	-0.04968	-0.05158	0.01343
MMP16	-0.05909	-0.01948	0.0167
MTHFD2	-0.03303	-0.00221	-0.02335
MTMR2	0.00729	0.03554	0.01914
MUL1	0.0344	-0.00189	0.04876
MX1	0.03059	-0.03223	-0.02373
MYC	0.05695	-0.01065	0.00944
MYD88	0.04028	0.01214	0.03748
MYLK	0.09381	-0.03928	-0.02494
NAGA	0.02175	0.01725	0.00859
NAMPT	0.1172	0.07316	-0.04252
NAT10	0.01096	0.0275	0.04832
NCALD	-0.03857	-0.08976	-0.06432
NCEH1	0.02244	0.03386	0.03397
NCOA4	0.0212	0.00682	0.0376
NCSTN	0.01535	0.03275	0.0508
NDP	0.06373	0.02785	0.07429
NDRG4	-0.02992	0.02624	0.00564
NEAT1	0.01815	0.01569	0.01769
NEDD9	0.05282	0.05149	0.07669
NNMT	0.08945	-0.0254	-0.0438
NOP2	0.01625	0.00335	0.0277
NRP1	0.01293	0.11096	-0.02184
NSDHL	0.02107	-0.007	0.0323
NUSAP1	-0.04037	-0.02802	0.0527
NXF1	0.0252	0.00689	-0.0036
OXCT1	-0.01744	-0.01425	0.06229
PAMR1	0.07882	-0.02975	0.01493
PCSK1	0.04824	0.08408	-0.03489
PDE4B	-0.02704	-0.02723	0.02961
PDIA6	-0.00654	0.03331	0.02968
PFKFB4	0.00963	0.02785	-0.04494
PGAM2	0.09329	-0.05819	-0.01237
PGK1	0.00741	0.01817	-0.0454
PHGDH	-0.00737	-0.08767	0.02873
PHYHIPL	-0.00238	-0.11794	0.06044
PIGO	0.02239	0.00866	0.00359
PIGS	0.03162	0.03488	0.05214
PIGT	0.01422	0.02326	0.02209
PIK3R3	-0.00661	-0.03845	0.0721
PIP4K2C	0.02279	0.00063	0.01792
PIRT	0.10055	-0.06368	-0.00433
PISD	0.03011	0.01497	0.02198
PJA1	0.01429	-0.02557	0.02379
PLA2G5	0.071	0.03186	0.09018
PLA2G15	0.03724	-0.00534	0.02201
PLAT	-0.01314	-0.02029	0.02792
PLEKHB1	0.04465	-0.0353	0.0605
PLK2	0.00492	-0.02281	0.04678
PLOD1	0.01621	0.02725	0.00654
PLP1	0.01105	-0.08249	-0.00064
PLS3	-0.00891	0.08411	0.08412
PMP2	0.03842	-0.05872	0.00997
PMP22	0.0197	0.002	0.04031
PNRC2	0.00777	0.01379	0.07081
POLDIP3	0.0019	-0.0033	0.03284
POSTN	-0.09223	0.04393	-0.0593
PPT1	0.0139	0.0241	0.03054
PRCP	0.01013	-0.02673	0.06896
PRKAB1	0.00353	-0.00709	0.0014
PRKAG1	0.01541	-0.00904	0.01638
PRMT5	-0.00577	-0.00382	0.04306
PRPF8	-0.01077	0.03072	-0.01319
PRUNE	0.00445	-0.01741	0.02138
PSAT1	-0.01375	-0.12452	0.01721
PSMB5	0.00063	-0.01035	0.02942
PYGB	0.02342	0.0103	-0.03916
QARS	0.0029	-0.03098	0.0307
RAB8B	-0.00574	-0.00042	0.02574
RANBP6	0.01059	-0.02701	0.00158
RASSF1	-0.00522	-0.00974	-0.00069
RASSF4	0.0475	-0.03594	0.05134
RCAN1	0.05334	0.01669	0.08828
RCBTB2	-0.0015	-0.02657	0.0788
RCHY1	0.01995	0.01448	0.03516
RDX	0.03066	-0.02517	0.03125
RFX4	0.06762	-0.07396	0.05134
RFX5	0.00917	-0.01436	0.06936
RGS2	0.0743	-0.01018	-0.0527
RGS16	0.03828	-0.02271	0.07339
RIC8A	0.01035	0.01278	0.06692
RNASEH2A	-0.02601	-0.01454	0.03484
RND3	0.06421	0.07142	-0.02577
RNF26	0.0153	0.00074	0.01704
RNF185	0.03004	-0.00616	0.01265
RNH1	0.02164	0.01655	-0.04448
RPH3A	-0.0577	-0.02949	-0.0036
RRM1	-0.00888	-0.02733	0.00954
S100B	-0.01688	-0.05822	0.02665
SAA2	0.05575	-0.03525	-0.03009
SAE1	-0.01688	-0.04413	-0.0006
SAT1	0.04089	0.04241	-0.07903
SCD	0.02393	0.02263	-0.00343
SCFD2	-0.00071	0.02615	0.03278
SCG2	-0.04126	0.18435	0.01317
SDCBP	0.0203	0.00717	0.01291
SEC24C	0.00732	0.04191	0.02444
SEMA6D	-0.03533	0.04584	0.06757
SEPP1	0.07817	0.01932	0.06345
SERINC1	0.01289	0.02893	-0.01037
SERPINA3	0.15123	-0.05874	-0.04775
SERPINE1	0.03182	0.11424	-0.01199
SERPING1	0.10671	0.10633	-0.01906
SGK1	0.044	-0.01603	0.01998
SHMT2	-0.02692	0.00681	-0.00759
SLC2A3	0.00056	0.10584	-0.06728
SLC5A3	-0.00204	0.06055	-0.00196
SLC5A6	0.01133	0.01532	0.04392
SLC20A1	0.0059	0.04405	0.02821
SLC25A5	-0.01814	-0.02423	0.03923
SLC25A44	0.01801	0.00886	0.05725
SLC35A4	0.00938	-0.01459	0.07344
SLC38A1	-0.02587	0.04671	-0.07111
SLC38A3	0.05955	-0.08426	0.01916
SLC40A1	0.0366	0.06694	-0.01953
SLC41A3	0.01926	-0.01821	-0.00078
SLC43A3	0.00011	0.01734	0.03237
SMARCAL1	0.02738	0.00586	0.0272
SNX11	0.01678	0.00025	0.02236
SOD2	0.14764	-0.01085	-0.08403
SPARCL1	0.05657	-0.01306	0.03242
SPOCD1	0.05722	0.11989	-0.02515
SPP1	0.06598	0.14008	0.10976
SPRYD3	0.07132	0.04769	-0.02614
STEAP3	0.05278	0.08692	-0.00032
SUOX	0.02064	0.02263	0.06187
TAF7	0.00447	-0.01005	0.02931
TAF9B	0.00254	-0.00296	0.03496
TAGLN	0.10183	-0.03109	-0.04614
TCN2	0.0411	0.00267	0.07665
TCTN3	0.02487	0.01297	0.07091
TF	-0.00092	-0.00339	-0.07093
TFRC	0.00957	0.02237	0.08757
THBS2	0.08661	-0.06482	-0.02364
THY1	0.00903	-0.04735	-0.00671
TIMELESS	-0.01253	-0.02495	0.04694
TIMP1	0.00093	0.07376	0.02053
TIMP3	0.03245	-0.03263	0.06755
TM4SF1	-0.05378	-0.04098	-0.07252
TMBIM1	0.08238	0.01441	-0.06293
TMEM43	0.04439	0.02607	-0.01577
TMEM48	0.00725	-0.00324	0.05287
TMEM97	-0.03069	-0.00781	0.03013
TMEM106C	0.02832	0.00376	0.06611
TMEM206	-0.00346	-0.025	-0.00577
TMTC4	-0.04494	-0.01155	-0.04025
TNC	0.08361	-0.00305	0.03097
TNFAIP1	0.03931	-0.02317	0.02218
TOMM34	0.03074	-0.03062	0.01789
TOP2A	-0.03134	-0.02086	0.06494
TPP1	0.05322	0.05437	0.04783
TRIM22	0.05851	-0.01372	0.03824
TRIM32	0.00611	0.00556	0.00294
TRIM69	0.01619	0.02918	0.00973
TSC22D1	-0.03433	-0.0706	-0.00842
TSC22D3	-0.04813	-0.0315	0.00285
TSPAN6	0.02628	-0.01949	0.01874
TSPAN7	-0.03936	0.01442	0.0051
TSPAN12	0.03625	-0.06379	0.07253
TSR1	-0.01373	0.03666	0.03613
TSSC1	0.02022	-0.01695	-0.01734
TXNIP	-0.03119	-0.02263	-0.04342
UBA7	0.03209	0.00738	0.03296
UBL4A	-0.0031	-0.01972	0.04578
UBR7	-0.00651	0.01155	0.05206
UCP2	0.00578	-0.03031	0.00636
USP11	-0.0163	0.0197	0.02194
VCAM1	0.10489	-0.05539	-0.00801
VCAN	0.01155	-0.10995	-0.05978
VMP1	0.02864	0.01409	0.0098
VPS11	0.02569	-0.0021	0.01727
VPS16	0.0219	-0.01665	0.01682
VPS39	0.00949	0.00124	0.034
VWA5A	0.07417	0.10431	0.05352
WARS	0.0662	-0.01139	-0.03408
WDR6	0.01784	-0.01919	0.00416
WDR48	0.01214	-0.0151	-0.00551
WLS	0.05407	-0.00974	0.00424
XPNPEP1	-0.00658	-0.0165	0.03214
XPO5	-0.00671	0.03174	-0.01106
ZBTB33	-0.01652	-0.01146	0.02884
ZDHHC9	0.06339	0.02394	-0.03535
ZFP82	0.00376	-0.01092	0.04188
ZNF10	0.00968	0.01407	-0.0087
ZNF14	-0.00434	0.01226	-0.00034
ZNF28	0.03883	-0.04803	-0.00002
ZNF41	0.00103	0.00301	0.01202
ZNF45	0.00526	0.01176	0.01293
ZNF133	0.00278	-0.03147	0.00307
ZNF136	-0.00177	-0.02154	0.02753
ZNF184	-0.01867	0.00715	0.00723
ZNF227	-0.01097	0.0059	0.02046
ZNF285	0.00069	-0.00817	-0.03034
ZNF300	-0.00566	-0.0262	-0.00392
ZNF337	0.01707	-0.0233	-0.00475
ZNF420	0.004	0.01582	-0.00626
ZNF436	0.00794	0.03448	0.02329
ZNF441	0.0102	0.00401	0.03366
ZNF542	0.08007	-0.02759	-0.01605
ZNF573	0.01652	-0.00445	-0.04348
ZNF614	0.00157	-0.00709	-0.03086
ZNF649	0.00918	-0.05318	-0.03872
ZNF671	0.01098	-0.01511	0.02705
