	PC 1	PC 2	PC 3
ARMCX6	0.01968	-0.00206	0.01753
ARNT	-0.01248	-0.00699	-0.01629
ARNT2	-0.01471	0.0083	0.00501
ARPC1A	0.00027	0.01231	-0.00063
ARPC1B	0.00843	0.04107	-0.00607
ARPC2	-0.00726	0.00619	0.00748
ARPC3	-0.00051	0.00311	0.0077
ARPC4	0.01056	-0.00218	-0.0051
ARPP19	0.00077	0.01118	-0.008
ARRDC3	-0.00031	-0.00562	-0.03626
ARSJ	0.01437	0.03961	-0.04464
ARSK	-0.00618	0.00368	-0.01797
ARV1	0.00893	0.01379	-0.00738
ASAH1	0.01924	0.00082	0.00326
ASAP1	-0.01648	-0.00641	0.00251
ASB3	-0.01714	-0.00026	0.00307
ASB8	-0.00009	-0.00472	0.00064
ASB15	-0.00901	-0.00975	-0.01201
ASCC1	0.00732	0.00613	-0.00296
ASCC2	0.00404	0.00571	0.0023
ASCC3	-0.00542	-0.0036	-0.01066
ASF1A	-0.00057	0.00646	0.01052
ASH1L	-0.00923	-0.01115	-0.00775
ASL	0.01892	-0.0139	-0.00946
ASNA1	-0.00029	-0.00364	0.00453
ASNS	-0.01246	-0.00775	-0.0092
ASNSD1	0.00791	0.00919	0.0025
ASPH	0.00265	-0.0182	-0.00366
ASRGL1	-0.01021	0.00262	0.01117
ASTE1	0.01244	0.01038	0.005
ASTN1	-0.0003	0.00562	0.00336
ASTN2	-0.01393	-0.02385	-0.01209
ASUN	0.00939	0.00342	-0.00844
ATAD1	0.03156	0.00972	-0.01318
ATAD2	-0.01749	0.02354	0.00548
ATCAY	-0.02913	-0.01244	-0.00069
ATF3	0.03092	-0.02466	0.00159
ATF4	-0.00628	-0.02109	-0.0254
ATF6	-0.00064	0.00727	0.00662
ATF6B	-0.00483	-0.00768	-0.01408
ATF7	0.00153	-0.01041	-0.00575
ATF7IP	-0.0036	0.00544	0.01333
ATG3	0.00825	0.00621	0.00649
ATG4A	0.01046	0.00471	0.0014
ATG4B	-0.00361	0.00492	0.00842
ATG5	0.00802	-0.0061	-0.00354
ATG7	0.01043	0.00578	-0.01305
ATG9A	0.01217	0.00057	0.00127
ATG12	-0.00699	0.00217	-0.00901
ATG13	0.01015	0.00906	0.00343
ATG14	-0.00221	-0.0066	-0.01732
ATG16L1	0.01486	-0.00444	-0.00275
ATIC	0.00421	0.02265	0.00641
ATL1	0.01829	-0.01657	0.02992
ATL2	-0.00127	0.00647	-0.01434
ATM	-0.00565	-0.00137	-0.00565
ATOX1	0.0027	0.00083	0.0045
ATP1A1	0.01424	-0.00669	-0.01451
ATP1A2	-0.01088	0.01494	0.05655
ATP1B2	0.00444	0.00461	0.01115
ATP2A2	-0.02163	-0.00787	-0.00191
ATP2B1	-0.01279	-0.00386	0.00772
ATP2B4	0.01913	-0.0413	0.00968
ATP2C1	0.01462	-0.0019	0.00538
ATP5A1	-0.00095	0.0188	0.01617
ATP5B	-0.00115	0.01812	0.00698
ATP5C1	-0.00673	0.00333	0.01426
ATP5E	-0.00383	-0.00298	0.01754
ATP5F1	0.00163	0.00462	0.00606
ATP5G1	-0.00808	0.00278	0.00894
ATP5G2	-0.00347	0.00659	0.00964
ATP5G3	0.00997	0.01823	0.00851
ATP5H	-0.00103	-0.00158	0.00573
ATP5I	-0.00332	-0.00965	0.01366
ATP5J	-0.00595	0.00026	0.0063
ATP5L	-0.0053	0.0016	0.01373
ATP5O	-0.00564	0.00354	0.00658
ATP5SL	0.01403	0.00067	0.01468
ATP6AP1	-0.00113	-0.00517	-0.01021
ATP6AP2	0.00003	0.01609	-0.00119
ATP6V1A	0.00176	0.01429	0.0026
ATP6V1B2	0.01527	0.01113	0.00275
ATP6V1C1	0.0079	-0.00613	0.00025
ATP6V1D	0.00464	-0.00302	-0.00339
ATP6V1E1	0.00192	0.00017	-0.00422
ATP6V1F	0.00271	-0.00329	0.00694
ATP6V1G1	-0.00682	-0.00013	0.00573
ATP6V0A1	-0.00208	0.00621	-0.00973
ATP6V0A2	-0.00576	0.00374	-0.00031
ATP6V0B	-0.0009	0.00999	0.00596
ATP6V0D1	0.00804	0.00593	0.00311
ATP6V0E1	-0.00313	0.00372	-0.00382
ATP6V0E2	-0.0164	0.01603	0.01427
ATP7A	-0.01118	-0.01631	-0.01602
ATP9A	0.00025	-0.02748	0.01512
ATP9B	-0.01857	-0.02519	-0.01372
ATP10D	-0.00488	0.00534	-0.01136
ATP13A3	-0.0062	-0.0093	-0.04161
ATP13A4	-0.00234	0.01884	0.02602
ATPAF2	0.00894	0.00367	0.00092
ATPBD4	-0.00472	0.00207	-0.00878
ATPIF1	-0.00093	0.00177	0.00035
ATR	-0.00868	0.00692	-0.0111
ATRN	-0.00122	-0.01266	-0.00647
ATRX	-0.00664	0.00353	0.00031
ATXN1	-0.00779	-0.02657	-0.01676
ATXN2	-0.00732	0.0015	-0.01452
ATXN7L3B	-0.00165	-0.00068	-0.01308
ATXN10	-0.01175	0.00183	0.001
AUP1	-0.00067	-0.00223	0.00245
AURKAIP1	-0.00414	0.01105	0.00599
AXL	-0.00548	-0.00224	-0.01664
AZGP1	0.00604	0.0185	-0.04113
AZI2	-0.00824	-0.00969	-0.00969
AZIN1	0.0065	0.0036	0.00147
B2M	0.00324	0.00412	-0.00175
B3GALNT1	0.01533	0.02443	-0.00272
B3GAT3	0.00351	0.00009	-0.01117
B4GALT3	0.0014	0.0162	-0.02038
B4GALT4	0.01021	-0.00037	0.00361
BAALC	0.02337	-0.02523	0.02813
BABAM1	-0.0121	0.00013	0.01196
BACE1	0.00414	-0.00474	-0.00837
BACH1	0.00194	-0.00798	-0.02279
BAD	0.00726	-0.00075	0.01012
BAG4	-0.00553	0.00557	-0.01205
BAG5	-0.00394	0.01413	0.00044
BAI3	-0.01768	-0.00268	0.00425
BAK1	0.01167	0.00469	-0.01027
BANF1	-0.00457	0.00601	0.00891
BARD1	-0.0076	0.00076	0.00738
BAZ1A	-0.00481	-0.0037	-0.01343
BAZ1B	-0.01138	-0.0063	-0.0037
BAZ2A	-0.00611	-0.01804	-0.01602
BAZ2B	-0.00651	0.00598	0.00099
BBOX1	0.03899	-0.00581	0.02721
BBS1	-0.00345	-0.00632	-0.00815
BBS2	0.00084	0.01567	-0.00267
BBS4	-0.00611	-0.00121	-0.00928
BBS5	-0.00844	-0.01258	-0.00821
BBS7	0.00974	0.00107	-0.0229
BBS9	-0.00527	-0.01732	-0.01193
BBS10	0.00363	-0.00318	-0.01353
BCAN	-0.01333	-0.02043	0.0937
BCAP29	-0.00088	0.00731	0.00359
BCAP31	0.00373	0.00064	0.00422
BCAS2	-0.01127	-0.00468	-0.00145
BCAS3	0.0034	0.00735	-0.02011
BCAT1	-0.02371	0.0529	-0.05317
BCCIP	-0.00824	-0.00327	-0.00339
BCHE	-0.01617	0.00918	0.00977
BCKDHA	-0.01501	-0.01245	-0.00631
BCKDHB	0.00451	-0.00396	-0.00381
BCL2L1	0.00862	0.00275	-0.00469
BCL2L2	-0.00753	0.00141	0.00123
BCL2L13	0.00772	0.01934	-0.00404
BCL6	0.04372	-0.03394	-0.04461
BCL7B	0.0034	0.00312	-0.01148
BCL10	-0.00952	-0.0048	-0.01462
BCLAF1	-0.00169	-0.00191	0.01175
BCOR	-0.00219	0.00166	0.00665
BCS1L	0.00336	0.00464	0.00746
BDH2	0.03047	-0.01282	0.00108
BDP1	-0.01219	-0.00164	-0.00887
BECN1	0.01199	-0.00169	0.00542
BEST3	-0.0018	0.01983	-0.02898
BET1	-0.00875	-0.01419	-0.01931
BEX1	-0.03825	-0.00179	0.02389
BEX2	-0.02098	0.00207	0.00774
BEX4	-0.01092	0.00428	0.00323
BFAR	0.00207	0.00831	0.01137
BGN	0.04517	-0.0318	0.01201
BHLHB9	0.0053	0.00661	0.00651
BHLHE40	0.02866	-0.02495	-0.04384
BID	0.01275	0.00212	0.02217
BIN3	0.01882	0.00726	0.00767
BIRC6	-0.00806	-0.00375	0.00157
BLCAP	0.01614	-0.00394	0.00703
BLM	-0.02394	0.02329	0.01831
BLMH	0.01203	0.01456	0.00324
BLOC1S1	-0.00441	-0.00683	0.00585
BLOC1S3	0.00511	-0.01928	0.00847
BLVRA	0.01226	-0.00338	0.01095
BLVRB	0.04094	-0.0181	-0.00639
BLZF1	0.00304	-0.00774	-0.01752
BMI1	-0.01122	0.00758	-0.00144
BMP5	-0.00886	0.04203	-0.03707
BMP7	-0.02609	-0.00569	0.01347
BMPR1B	0.02751	-0.01282	-0.00045
BMPR2	-0.01276	-0.01226	-0.0068
BMS1	-0.01165	-0.00413	0.00782
BNIP1	0.00707	0.0121	0.00554
BNIP3	-0.00299	-0.02188	-0.00068
BNIP3L	-0.00067	-0.02042	-0.00648
BOD1L1	-0.01052	-0.01599	-0.01598
BOLA2B	-0.00264	-0.0005	0.00148
BOLA3	-0.01307	-0.00237	-0.00339
BOLA3-AS1	-0.00275	-0.01085	-0.01388
BPGM	0.00691	0.00196	0.02172
BPHL	0.00908	0.00548	0.02214
BPNT1	-0.00556	0.00142	-0.00662
BPTF	-0.01275	0.00105	0.0055
BRCA1	-0.01903	0.01418	0.00676
BRCC3	0.00866	0.00704	-0.01023
BRD3	-0.00352	0.00446	0.00387
BRD8	-0.00428	0.01518	-0.00654
BRE	0.01278	0.00325	-0.00038
BRIX1	-0.01916	-0.00019	0.00217
BRK1	-0.00041	0.00674	0.00218
BRMS1	0.02064	0.00817	-0.0043
BRMS1L	0.01488	0.00133	0.00762
BRP44	0.00689	-0.01111	-0.00481
BRWD1	-0.02117	-0.00695	-0.00504
BSCL2	0.01057	0.03247	-0.03078
BSDC1	-0.00052	-0.00682	-0.0259
BSG	-0.00091	0.013	-0.00245
BST2	0.01532	0.00142	0.02068
BTBD3	0.0073	0.01175	0.02561
BTBD7	-0.01706	-0.01166	-0.01026
BTBD10	0.01615	0.01725	0.00837
BTF3	-0.00785	0.00742	0.0022
BTF3L4	-0.01075	0.00449	-0.00712
BTG2	0.0211	-0.02812	0.00515
BTN2A1	0.01869	-0.00688	-0.00919
BTN2A2	0.01186	-0.00479	0.00494
BTN3A1	0.00159	-0.0219	-0.00336
BTN3A2	0.00675	-0.01022	0.0025
BTN3A3	0.0165	-0.00935	-0.00404
BUB1	-0.00577	0.01882	0.01096
BUB3	0.00836	0.00646	-0.00743
BUD13	0.00287	0.01554	-0.00501
BUD31	-0.00605	0.00166	0.00483
BZW1	0.00294	0.01487	-0.00504
BZW2	-0.00646	0.02009	-0.01118
C1D	-0.00221	0.00121	-0.0082
C1GALT1	-0.01274	0.00491	-0.00829
C1GALT1C1	0.00711	0.01677	-0.01394
C1ORF9	-0.00825	-0.00442	-0.01169
C1ORF21	-0.02043	0.00103	0.01706
C1ORF27	-0.0091	-0.00511	-0.01275
C1ORF43	0.00371	0.00806	-0.00012
C1ORF51	-0.00894	-0.0111	0.00924
C1ORF52	-0.00076	-0.00604	0.00047
C1ORF55	-0.0014	0.01238	-0.02118
C1ORF56	-0.00321	-0.01228	0.00041
C1ORF61	-0.00905	-0.0254	0.03823
C1ORF63	-0.00335	-0.00581	-0.02437
C1ORF85	0.02759	0.01346	-0.01592
C1ORF96	-0.0167	0.01038	0.00318
C1ORF109	0.01219	-0.00494	-0.00359
C1ORF123	0.00272	0.01571	0.01718
C1ORF131	-0.01311	-0.00113	-0.00867
C1ORF174	-0.0058	0.00424	-0.01356
C1ORF212	0.00695	0.00615	-0.00416
C1R	0.06725	0.00379	-0.0449
C1S	0.07649	-0.01726	-0.01041
C2CD3	-0.01166	-0.00229	-0.01293
C2ORF18	0.00903	-0.00498	0.00381
C2ORF28	-0.00019	0.00556	0.00297
C2ORF42	0.00535	0.00994	0.00039
C2ORF43	0.01759	0.01358	0.01346
C2ORF44	0.00775	0.00941	-0.0043
C2ORF63	-0.01248	-0.01597	0.00031
C2ORF68	0.00244	-0.00443	-0.00923
C2ORF77	0.00214	-0.01809	0.00593
C2ORF80	-0.03179	0.01886	0.02296
C3	0.06741	-0.04981	0.01753
C3ORF14	0.01657	-0.01064	0.00828
C3ORF17	-0.00458	0.00198	-0.00915
C3ORF19	-0.01918	-0.01176	-0.00241
C3ORF23	0.01589	-0.00222	-0.00095
C3ORF26	-0.01134	0.00373	-0.00013
C3ORF37	0.00875	0.02377	0.01612
C3ORF38	0.01383	-0.00092	-0.01001
C3ORF70	-0.00078	-0.00668	0.03507
C4ORF3	0.00355	-0.00328	-0.0054
C4ORF21	-0.0077	0.01021	0.00224
C4ORF27	-0.01947	0.00467	0.01175
C4ORF34	-0.00214	-0.00671	-0.01226
C4ORF52	0.00671	0.00392	0.00364
C5ORF4	0.00195	-0.00522	-0.00692
C5ORF15	-0.00063	0.00399	-0.00009
C5ORF22	-0.00081	0.00867	-0.00953
C5ORF24	-0.02159	-0.00902	-0.00877
C5ORF25	-0.00606	-0.01309	-0.00314
C5ORF28	-0.00526	-0.00725	0.00645
C5ORF42	-0.01716	0.00296	-0.00325
C5ORF43	0.01147	0.01796	0.00725
C5ORF44	0.00121	0.01874	0.0014
C5ORF45	-0.00299	-0.00919	-0.01466
C5ORF51	-0.00249	-0.00908	0.00087
C5ORF54	0.00105	-0.00091	-0.00895
C5ORF62	-0.01592	0.02134	-0.02694
C6ORF1	0.0169	0.0101	-0.01801
C6ORF62	0.01589	0.00019	-0.00831
C6ORF70	0.01725	0.01188	-0.00703
C6ORF89	0.00516	0.00233	0.0034
C6ORF130	0.00674	-0.0085	-0.01194
C6ORF170	-0.00671	-0.01528	-0.01877
C6ORF211	0.00801	0.01624	0.0127
C6ORF225	-0.0033	-0.02505	-0.00554
C7ORF25	0.01302	0.00714	-0.00624
