	ISOMap	MDS	PCA: 1,2	PCA: 1,3	PCA: 2,3	Spectral Embedding	tSNE10	tSNE30
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.87347	0.88279	0.88966	0.88629	0.81298	0.87365	0.85161	0.87095
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.86916	0.8639	0.86801	0.8754	0.80346	0.85177	0.84987	0.85696
HALLMARK_G2M_CHECKPOINT	0.85045	0.84977	0.83621	0.84785	0.83085	0.82103	0.83363	0.841
HALLMARK_APICAL_SURFACE	0.80872	0.8002	0.80023	0.80483	0.75883	0.79832	0.78853	0.8043
HALLMARK_XENOBIOTIC_METABOLISM	0.90129	0.90146	0.91257	0.91237	0.82548	0.88585	0.87008	0.8903
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.78969	0.78474	0.79372	0.79312	0.7739	0.78123	0.78822	0.78928
HALLMARK_GLYCOLYSIS	0.86023	0.87063	0.8627	0.86324	0.79389	0.85126	0.85089	0.85675
HALLMARK_UV_RESPONSE	0.76133	0.76723	0.76898	0.75886	0.77361	0.75802	0.77048	0.78341
HALLMARK_COAGULATION	0.8905	0.88827	0.91465	0.91393	0.81977	0.89403	0.86577	0.89166
HALLMARK_HEDGEHOG_SIGNALING	0.76621	0.77284	0.77046	0.78389	0.758	0.76535	0.77315	0.76493
Patient	0.5571	0.61151	0.47276	0.39284	0.45653	0.4637	0.5778	0.78835
Zero_Proportion	0.92145	0.92672	0.92182	0.9366	0.8572	0.90063	0.89094	0.90794
