	PC 1	PC 2	PC 3
AHCYL2	0.02879	-0.02922	-0.03095
AHI1	-0.00621	-0.0007	0.005
AHSA1	-0.00129	-0.01086	0.00606
AIF1L	0.01193	0.00619	-0.07161
AIG1	0.00168	-0.0039	-0.01631
AIMP1	-0.01273	-0.00303	0.0074
AIMP2	0.00176	0.01554	-0.02119
AIP	0.0108	0.01492	-0.01172
AK1	-0.01664	-0.01086	-0.00053
AK2	0.00214	0.00727	0.00096
AK4	-0.01804	0.00371	-0.00156
AKAP2	-0.01962	-0.00623	0.02603
AKAP6	-0.01727	-0.005	0.03209
AKAP7	-0.02326	-0.00722	-0.01912
AKAP8	-0.01708	-0.02064	0.02213
AKAP8L	0.0062	-0.00768	-0.00629
AKAP11	-0.00197	0.00061	-0.00939
AKAP12	-0.00951	0.01783	0.07794
AKAP13	-0.01067	0.01372	-0.0004
AKIP1	0.01472	-0.00627	0.00685
AKIRIN1	-0.00906	-0.00102	0.00731
AKNA	-0.02345	-0.01118	0.01508
AKR1B1	0.00137	0.00571	-0.00616
AKTIP	0.02178	-0.01258	-0.01119
ALAD	0.01757	-0.00427	0.01738
ALAS1	0.01156	0.03965	-0.02187
ALDH1B1	-0.00857	0.00124	-0.0138
ALDH1L1	0.00374	-0.02617	-0.04261
ALDH3A2	0.00538	-0.01663	0.00597
ALDH6A1	0.02942	0.00204	-0.00268
ALDH7A1	0.00147	-0.0088	-0.0348
ALDH9A1	0.01768	0.00112	-0.01646
ALDH18A1	0.00905	0.02315	-0.01494
ALDOC	0.01609	-0.00365	-0.02288
ALG1	-0.0063	0.02458	0.00691
ALG3	0.00435	0.03481	-0.0135
ALG5	-0.02028	0.03274	0.00317
ALG6	0.00707	0.0005	-0.00697
ALG8	0.01257	0.01658	-0.00782
ALG9	-0.00533	0.0117	-0.00731
ALG11	-0.00878	0.00767	-0.01081
ALG13	0.0052	-0.00123	0.00126
ALG14	0.00895	0.01019	-0.0029
ALKBH1	-0.00077	0.01706	-0.01158
ALKBH2	0.00651	0.00146	-0.00812
ALKBH3	0.01839	0.00195	-0.00473
ALPK1	0.01251	-0.02623	0.03157
ALS2	0.00095	0.00655	0.00048
AMD1	0.00172	-0.00517	0.02882
AMN1	0.00953	0.00222	0.02855
AMPD2	0.01046	0.0012	0.00931
AMT	0.00108	0.02667	0.00022
AMZ2	0.0078	0.01147	-0.00393
AMZ2P1	-0.00818	-0.01096	-0.01271
ANAPC4	0.01406	0.01476	-0.00446
ANAPC5	-0.0042	0.00787	-0.01327
ANAPC7	-0.00995	0.0184	-0.01264
ANAPC11	-0.00414	0.0022	-0.01295
ANAPC13	-0.00054	0.00042	-0.00301
ANAPC16	-0.00078	0.00385	0.01661
ANGEL1	0.01089	0.01128	-0.00889
ANGEL2	-0.01233	0.00187	-0.00651
ANK2	0.01468	-0.00308	-0.00723
ANKFY1	0.01459	0.01446	-0.00096
ANKHD1-EIF4EBP3	-0.01461	0.00258	0.01169
ANKIB1	0.00052	-0.01687	0.00589
ANKMY2	0.00991	-0.00304	-0.00573
ANKRA2	0.00321	0.00836	0.02676
ANKRD11	-0.01226	-0.01365	0.01072
ANKRD12	0.00119	-0.00393	0.02269
ANKRD13C	-0.00087	0.01006	0.01122
ANKRD17	0.00112	0.00779	-0.00376
ANKRD27	0.01048	-0.00225	0.00528
ANKRD28	-0.01713	-0.02217	0.03014
ANKRD36	0.00135	-0.01398	0.00734
ANKRD36B	0.00081	-0.00219	0.01125
ANKRD36C	-0.00106	-0.00222	0.00518
ANKRD39	0.00442	0.00133	0.00204
ANKRD40	0.00844	-0.01207	0.00425
ANKRD42	0.00141	-0.01081	0.01961
ANKRD44	-0.02613	-0.02014	0.02479
ANKRD50	-0.00167	-0.00576	0.0026
ANKZF1	-0.00247	-0.00723	0.02134
ANLN	-0.02088	0.02176	-0.01061
ANO10	0.01599	0.00369	-0.0007
ANP32E	-0.00401	0.00856	0.00214
ANTXR1	-0.00724	-0.02473	0.00214
ANXA1	0.06736	-0.03104	0.00751
ANXA2	0.04163	0.04053	0.03751
ANXA4	0.02439	-0.00838	0.00201
ANXA6	0.00497	-0.01307	-0.02188
ANXA7	0.01599	0.01509	0.00303
AP1G1	-0.00154	0.02303	-0.00789
AP1G2	0.0013	0.00619	-0.00339
AP1M1	0.01128	0.01916	-0.00185
AP1S2	-0.0162	-0.00477	-0.00823
AP2B1	0.00616	0.002	-0.0053
AP2M1	0.00629	0.01467	-0.00857
AP2S1	-0.00644	-0.01961	-0.01267
AP3M1	-0.00354	0.00026	-0.0173
AP3M2	0.01366	-0.00296	0.00065
AP3S1	-0.01162	-0.00825	-0.00048
AP3S2	-0.00397	0.00959	-0.00115
AP4B1	-0.0062	0.00824	0.01184
AP4M1	0.00469	-0.00891	-0.00928
AP5M1	0.00926	0.01874	-0.01649
AP5S1	0.01814	-0.00834	-0.00386
APBB1	0.00078	-0.00491	0.0017
APBB2	-0.0296	-0.0088	-0.0251
APBB3	0.007	0.00045	0.01362
APC	0.01016	-0.01015	-0.01518
APEH	0.01741	0.02152	-0.02052
APEX1	0.00097	0.00207	-0.01493
APH1A	0.00884	0.00613	-0.00677
APH1B	0.00109	0.0135	-0.0025
API5	-0.00033	0.01602	0.0021
APIP	0.00361	-0.00105	0.00044
APLP2	0.00212	0.01884	0.00961
APOA1BP	-0.00632	-0.01275	-0.00854
APOBEC3C	0.02703	0.0316	0.02618
APOD	-0.03705	-0.04051	-0.00463
APOL2	0.01145	-0.01997	0.02472
APOL4	-0.00293	-0.02317	-0.00046
APOL6	-0.0038	-0.00205	0.02136
APOO	0.00768	-0.00251	-0.01463
APOOL	0.00983	-0.00908	0.01496
APP	-0.00304	0.00131	0.0095
APPBP2	-0.01088	-0.00052	0.00491
APPL1	-0.0128	-0.00566	0.0026
APPL2	0.01109	-0.00144	0.00496
APRT	0.01327	-0.01109	-0.00502
AQP1	0.01231	-0.01812	0.00564
AQP4	0.0611	-0.05189	-0.07372
AQR	-0.00508	0.01809	0.00098
ARAP2	-0.01324	-0.01722	-0.00092
ARCN1	0.00748	0.02189	0.00072
ARF1	-0.0078	0.00154	0.00034
ARF3	0.00127	-0.01188	-0.00664
ARF4	-0.0012	0.00721	-0.00205
ARF5	-0.01323	0.00411	0.00449
ARF6	-0.00007	0.00552	-0.01001
ARFGAP2	0.0044	0.01191	-0.00549
ARFGAP3	-0.00348	-0.00829	0.00607
ARFGEF1	-0.00984	0.00057	0.00137
ARFIP1	0.00739	0.00792	-0.00688
ARFIP2	-0.01128	0.00835	0.006
ARGLU1	-0.01974	0.00902	0.00917
ARHGAP5	-0.00796	-0.00257	0.00921
ARHGAP21	-0.02185	-0.0062	0.00428
ARHGEF3	0.01855	0.01033	0.01886
ARHGEF6	0.00681	0.02238	0.00175
ARHGEF7	-0.02398	0.00144	-0.00149
ARHGEF10	-0.01513	-0.02624	0.02602
ARHGEF26	-0.01095	-0.00065	-0.00386
ARID1A	-0.01279	-0.00981	0.00417
ARID1B	-0.01908	-0.01948	0.02137
ARID2	-0.02237	-0.00852	-0.00566
ARID4A	-0.00937	-0.01588	-0.00448
ARID4B	-0.00908	-0.00615	0.01526
ARID5B	0.02168	-0.01424	0.01689
ARIH2	-0.00458	0.01274	0.00558
ARL1	0.00347	0.00798	0.00895
ARL2	0.0139	-0.00834	0.00025
ARL2BP	0.00115	-0.00764	-0.00802
ARL3	-0.00631	-0.01559	-0.00536
ARL4A	-0.03709	0.00323	-0.01948
ARL4C	0.00571	-0.01117	0.03155
ARL6IP5	0.00312	0.00474	-0.00586
ARL6IP6	0.0012	0.00034	-0.01063
ARL8B	0.01162	0.00419	0.02262
ARL13B	0.00954	-0.00917	0.0078
ARL16	-0.0044	0.00021	0.00003
ARMC1	0.00155	0.01929	-0.0076
ARMC6	0.01251	-0.00422	-0.00012
ARMCX1	0.00898	-0.00935	0.00863
ARMCX2	0.0159	0.00407	0.00274
ARMCX3	0.00081	0.00029	0.00134
ARMCX6	0.02091	-0.00851	-0.01683
ARNT	-0.01281	-0.00172	0.0185
ARNT2	-0.01573	0.00561	-0.00738
ARPC1A	0.00007	0.01191	-0.0024
ARPC1B	0.00793	0.04284	-0.0083
ARPC2	-0.0081	0.00295	-0.00841
ARPC3	-0.00072	-0.00032	-0.00755
ARPP19	0.0007	0.01459	0.00222
ARRDC3	-0.00011	0.00621	0.04031
ARSJ	0.01451	0.05621	0.02866
ARSK	-0.0063	0.01132	0.01521
ARV1	0.00911	0.01701	0.00256
ASAH1	0.02022	0.00099	-0.00553
ASAP1	-0.01745	-0.0075	-0.00097
ASB3	-0.01817	-0.00239	-0.00168
ASB8	0.00018	-0.0042	-0.00052
ASB15	-0.0089	-0.00456	0.01309
ASCC1	0.00784	0.00931	-0.00352
ASCC2	0.00402	0.00386	-0.00296
ASCC3	-0.00568	-0.00046	0.01302
ASF1A	-0.00092	0.0019	-0.01179
ASH1L	-0.00945	-0.00861	0.01111
ASL	0.02044	-0.01001	0.0147
ASNA1	-0.00016	-0.00513	-0.00333
ASNS	-0.01308	-0.00582	0.01472
ASNSD1	0.0083	0.00884	-0.00692
ASPH	0.00332	-0.01776	0.01101
ASRGL1	-0.0106	-0.00177	-0.01265
ASTN1	-0.00032	0.00555	-0.00793
ASUN	0.00986	0.00686	0.00727
ATAD1	0.03358	0.01757	0.00553
ATCAY	-0.03061	-0.01445	0.00854
ATF3	0.03317	-0.02481	0.00711
ATF4	-0.00594	-0.0121	0.03406
ATF6	-0.00064	0.00496	-0.01037
ATF6B	-0.00483	-0.0016	0.01448
ATF7	0.00199	-0.00745	0.00755
ATF7IP	-0.00421	0.00066	-0.01637
ATG3	0.00892	0.00451	-0.01027
ATG4A	0.01093	0.00467	-0.00287
ATG4B	-0.00395	0.0013	-0.00864
ATG5	0.00857	-0.00488	0.00675
ATG7	0.01132	0.01209	0.00911
ATG9A	0.01275	0.00012	-0.00154
ATG12	-0.00718	0.00602	0.00687
ATG13	0.01058	0.00945	-0.0093
ATG14	-0.00207	-0.0004	0.01964
ATG16L1	0.01586	-0.00245	0.00236
ATIC	0.00389	0.0216	-0.01674
ATL1	0.01969	-0.02705	-0.02383
ATL2	-0.0014	0.01222	0.01119
ATM	-0.00575	0.00128	0.00474
ATOX1	0.0027	-0.00075	-0.00427
ATP1A1	0.01511	-0.00151	0.01726
ATP1A2	-0.01187	-0.00009	-0.07481
ATP1B2	0.00469	0.00179	-0.0161
ATP2A2	-0.02267	-0.00755	0.00482
ATP2B1	-0.01357	-0.00728	-0.00551
ATP2B4	0.02109	-0.04431	0.00603
ATP5A1	-0.00165	0.01285	-0.02325
ATP5C1	-0.00738	-0.00201	-0.01499
ATP5F1	0.0015	0.00265	-0.00799
ATP5G1	-0.00878	-0.00102	-0.00904
ATP5G3	0.01002	0.01437	-0.01295
ATP5H	-0.00121	-0.00425	-0.00333
ATP5I	-0.00349	-0.01547	-0.00788
ATP5J	-0.0065	-0.00289	-0.00467
ATP5L	-0.00583	-0.00422	-0.01248
ATP5SL	0.01464	-0.00427	-0.01523
ATP6AP2	-0.00053	0.01627	-0.00541
ATP6V1A	0.0017	0.01368	-0.00832
ATP6V1B2	0.01614	0.01091	-0.00793
ATP6V1C1	0.00856	-0.00521	0.00057
ATP6V1D	0.00494	-0.00122	0.00453
ATP6V1E1	0.00196	0.0022	0.00453
ATP6V1F	0.00277	-0.00625	-0.0042
ATP6V1G1	-0.00727	-0.00274	-0.00451
ATP6V0A1	-0.00225	0.00968	0.00658
ATP6V0A2	-0.00603	0.00352	-0.00053
ATP6V0B	-0.00125	0.00752	-0.00873
ATP6V0D1	0.00846	0.00613	-0.00722
ATP6V0E1	-0.00349	0.00493	0.00307
ATP6V0E2	-0.0178	0.0112	-0.02248
ATP7A	-0.01113	-0.01086	0.02314
ATP9A	0.00098	-0.0333	-0.00412
ATP10D	-0.00522	0.00932	0.00955
ATP13A3	-0.00602	0.00504	0.04677
ATP13A4	-0.00295	0.01187	-0.03932
ATPAF2	0.00962	0.00403	-0.00353
ATPBD4	-0.00495	0.00603	0.00649
ATPIF1	-0.00083	0.00245	-0.00294
ATR	-0.00901	0.01066	0.00865
ATRN	-0.00108	-0.01126	0.01281
ATRX	-0.00708	0.00299	-0.00216
ATXN1	-0.00747	-0.02117	0.02727
ATXN2	-0.00771	0.00713	0.01287
ATXN7L3B	-0.00128	0.0042	0.01223
ATXN10	-0.0127	0.00028	-0.00012
AUP1	-0.00065	-0.00301	-0.00174
AURKAIP1	-0.00461	0.00834	-0.00907
AXL	-0.00548	0.00666	0.01163
AZGP1	0.00614	0.03336	0.03347
AZI2	-0.00842	-0.00699	0.0145
AZIN1	0.00694	0.0031	-0.00241
B3GALNT1	0.01591	0.02639	-0.00727
B3GAT3	0.00381	0.00497	0.01031
B4GALT3	0.00111	0.02311	0.01485
B4GALT4	0.01101	-0.00069	-0.00446
BAALC	0.02483	-0.03597	-0.01703
BABAM1	-0.01296	-0.00521	-0.01054
BACE1	0.00452	-0.00131	0.00998
BAD	0.00756	-0.00464	-0.00882
BAG4	-0.00582	0.01021	0.00914
BAG5	-0.00432	0.01454	-0.00626
BAI3	-0.0184	-0.00555	-0.003
BAK1	0.01242	0.00988	0.00692
BANF1	-0.00508	0.00202	-0.01014
BARD1	-0.00757	-0.00166	-0.00835
BAZ1A	-0.00467	0.0009	0.01462
BAZ1B	-0.01169	-0.00581	0.00702
BAZ2A	-0.00575	-0.01207	0.02191
BAZ2B	-0.00698	0.00588	-0.00497
BBOX1	0.04151	-0.01313	-0.02932
BBS1	-0.00371	-0.00354	0.01042
BBS2	0.00056	0.01799	-0.00659
BBS4	-0.00626	0.00325	0.00716
BBS5	-0.0084	-0.00957	0.01268
BBS7	0.01066	0.01017	0.02141
BBS9	-0.00516	-0.01318	0.0184
BBS10	0.00408	0.00182	0.01562
BCAN	-0.01423	-0.05635	-0.08303
BCAP29	-0.00121	0.00588	-0.00691
BCAP31	0.00386	-0.00055	-0.00445
BCAS2	-0.01186	-0.00512	0.00537
BCAT1	-0.02573	0.07166	0.03363
BCCIP	-0.00854	-0.00203	0.00528
BCHE	-0.01744	0.00483	-0.01302
BCKDHA	-0.01596	-0.01147	0.01375
BCL2L1	0.00872	0.00469	0.00452
BCL2L2	-0.00794	0.00094	-0.00144
BCL2L13	0.0077	0.02235	-0.00568
BCL6	0.04747	-0.01625	0.05441
BCL7B	0.00372	0.00784	0.00952
BCL10	-0.00996	-0.00043	0.01819
BCLAF1	-0.0017	-0.00545	-0.0128
BCOR	-0.00239	-0.00112	-0.00711
BCS1L	0.0037	0.00207	-0.00983
BDH2	0.0327	-0.01106	0.00129
BDP1	-0.01254	0.0018	0.00868
BECN1	0.01261	-0.00297	-0.00524
BEST3	-0.00199	0.02955	0.02081
BET1	-0.00888	-0.00794	0.02685
BEX1	-0.04069	-0.01233	-0.02045
BEX2	-0.02272	-0.00292	-0.0042
BEX4	-0.01187	0.00202	-0.00222
BFAR	0.00195	0.00363	-0.01471
BGN	0.04851	-0.03521	-0.00115
BHLHE40	0.03136	-0.00799	0.05126
BID	0.01344	-0.00571	-0.02277
BIN3	0.01996	0.00655	-0.01305
BIRC6	-0.00842	-0.00451	-0.00003
BLCAP	0.01705	-0.00595	-0.007
BLM	-0.02564	0.01666	-0.02834
BLMH	0.01229	0.01409	-0.01051
BLOC1S1	-0.00454	-0.00939	-0.00231
BLOC1S3	0.00601	-0.02094	-0.0029
BLVRA	0.01292	-0.00817	-0.00736
BLVRB	0.04402	-0.014	0.0114
BLZF1	0.00381	-0.00091	0.01932
BMI1	-0.01207	0.00738	0.00031
BMP5	-0.01028	0.05309	0.02526
BMP7	-0.02751	-0.01245	-0.00942
BMPR1B	0.02979	-0.00953	-0.00083
BMPR2	-0.0129	-0.01051	0.01227
BNIP1	0.00732	0.01155	-0.01284
BNIP3	-0.0026	-0.02165	0.00968
BNIP3L	-0.00037	-0.01829	0.0154
BOD1L1	-0.01072	-0.01017	0.02263
BOLA2B	-0.00284	-0.0009	-0.00166
BOLA3	-0.01372	-0.00189	0.00544
BOLA3-AS1	-0.00259	-0.00649	0.01899
BPGM	0.00727	-0.00574	-0.02327
BPHL	0.00937	-0.0023	-0.02452
BPNT1	-0.0057	0.00349	0.00646
BPTF	-0.01357	-0.00135	-0.00636
BRCC3	0.00882	0.01096	0.00919
BRD3	-0.00397	0.0043	-0.00896
BRD8	-0.00477	0.01817	-0.00105
BRE	0.01355	0.00375	-0.0025
BRIX1	-0.01995	-0.00072	-0.00255
BRK1	-0.0007	0.00555	-0.00339
BRMS1	0.02179	0.01149	-0.00102
BRMS1L	0.01589	-0.00071	-0.00924
BRP44	0.00764	-0.00982	0.01063
BRWD1	-0.02221	-0.00632	0.00926
BSCL2	0.01071	0.04379	0.01736
BSDC1	-0.00027	0.00357	0.02566
BST2	0.01589	-0.00409	-0.02422
BTBD3	0.00769	0.00495	-0.0353
BTBD7	-0.01737	-0.0074	0.01298
BTBD10	0.01673	0.01565	-0.01803
BTF3L4	-0.01136	0.00693	0.00609
BTG2	0.02294	-0.02942	0.00394
BTN2A1	0.02005	-0.00298	0.01178
BTN2A2	0.01258	-0.00584	-0.00377
BTN3A1	0.00237	-0.01921	0.00937
BTN3A2	0.00754	-0.01058	0.00075
BTN3A3	0.01775	-0.00695	0.00549
BUB3	0.0087	0.00983	0.00426
BUD31	-0.00642	-0.00059	-0.00418
BZW1	0.00289	0.01722	-0.00067
BZW2	-0.00692	0.02378	0.00433
C1D	-0.0025	0.00264	0.01129
C1GALT1	-0.01344	0.0074	0.00627
C1GALT1C1	0.00724	0.02308	0.00609
C1ORF9	-0.00851	-0.00002	0.01337
C1ORF21	-0.02162	-0.00444	-0.02023
C1ORF27	-0.00966	-0.00029	0.01457
C1ORF43	0.00371	0.00806	-0.00196
C1ORF51	-0.00941	-0.01505	-0.00499
C1ORF52	-0.00062	-0.00648	0.00243
C1ORF55	-0.00139	0.02141	0.01526
C1ORF56	-0.00324	-0.01262	0.00421
C1ORF61	-0.00937	-0.04113	-0.02478
C1ORF63	-0.00337	0.00314	0.02516
C1ORF85	0.02906	0.02015	0.00977
C1ORF96	-0.01762	0.00982	-0.00999
C1ORF109	0.01282	-0.00411	0.00735
C1ORF123	0.00239	0.00988	-0.02439
C1ORF131	-0.01362	0.0023	0.00895
C1ORF174	-0.00583	0.00923	0.01174
C1ORF212	0.00729	0.00796	0.00204
C1R	0.07132	0.0214	0.04195
C1S	0.08144	-0.01125	0.01521
C2CD3	-0.01213	0.00189	0.01429
C2ORF18	0.00971	-0.00649	-0.00106
C2ORF28	-0.00033	0.00446	-0.0047
C2ORF42	0.00545	0.0105	-0.00606
C2ORF43	0.01838	0.01026	-0.02134
C2ORF44	0.00819	0.01183	-0.00046
C2ORF68	0.00302	0.0002	0.00833
C2ORF77	0.00294	-0.01977	-0.00047
C2ORF80	-0.0346	0.00873	-0.02899
C3	0.0723	-0.0539	0.00029
C3ORF14	0.01761	-0.01312	-0.00441
C3ORF17	-0.00473	0.00542	0.00891
C3ORF19	-0.01983	-0.01131	0.00677
C3ORF23	0.01718	-0.00046	-0.00052
C3ORF26	-0.0118	0.00365	-0.00067
C3ORF37	0.00905	0.01922	-0.02694
C3ORF38	0.01487	0.00396	0.00808
C3ORF70	-0.0008	-0.01974	-0.03284
C4ORF3	0.00374	-0.00159	0.00738
C4ORF27	-0.02087	-0.00069	-0.01198
C4ORF34	-0.00206	-0.00177	0.01422
C4ORF52	0.00697	0.00217	-0.00332
C5ORF4	0.00241	0.00075	0.00254
C5ORF15	-0.00075	0.00445	-0.00252
C5ORF22	-0.00066	0.01333	0.00353
C5ORF24	-0.02258	-0.00636	0.01177
C5ORF28	-0.00504	-0.00862	-0.00624
C5ORF42	-0.01801	0.00433	0.00025
C5ORF43	0.01203	0.01733	-0.01807
C5ORF44	0.00122	0.02	-0.01151
C5ORF45	-0.00284	-0.00343	0.01667
C5ORF51	-0.00224	-0.00765	-0.00045
C5ORF54	0.00155	0.00379	0.00533
C5ORF62	-0.01721	0.03126	0.01832
C6ORF1	0.0177	0.01727	0.01444
C6ORF70	0.01816	0.01539	0.00009
C6ORF89	0.00569	0.0019	-0.00634
C6ORF130	0.00754	-0.00352	0.01506
C6ORF211	0.00823	0.01248	-0.01987
C6ORF225	-0.00285	-0.02344	0.01533
C7ORF25	0.0136	0.0098	0.00326
C7ORF42	-0.00838	-0.00773	0.01215
C7ORF59	-0.00209	-0.00042	-0.00411
C7ORF60	-0.00179	-0.00385	-0.00148
C7ORF73	0.00532	-0.00022	-0.00641
C8ORF4	0.05791	-0.02352	0.02541
C8ORF33	0.00371	0.01165	-0.00674
C8ORF40	0.00397	0.01259	0.00634
C8ORF46	-0.00409	-0.00266	-0.02273
C8ORF59	-0.00825	-0.00912	0.0049
C9ORF9	-0.00335	-0.0005	0.00794
C9ORF16	-0.01504	0.00589	-0.00922
C9ORF78	0.00205	-0.00166	-0.00045
C9ORF80	0.00028	0.01302	-0.01347
C9ORF85	-0.00441	-0.00014	0.01444
C9ORF114	0.0117	0.0222	-0.011
C10ORF12	0.00102	-0.00243	0.0026
C10ORF32	-0.00143	-0.0071	0.00132
C10ORF46	-0.00347	-0.00546	0.01146
C11ORF10	-0.00827	-0.00649	-0.00629
C11ORF24	0.01471	0.00756	0.00718
C11ORF31	-0.0075	-0.00253	-0.00143
C11ORF46	-0.0066	0.00296	-0.00298
C11ORF48	-0.01186	-0.01101	-0.00007
C11ORF51	-0.01024	-0.00036	-0.00617
C11ORF54	-0.00586	-0.00449	0.01014
C11ORF57	-0.00485	-0.00011	0.00344
C11ORF73	-0.00697	-0.00241	-0.00596
C12ORF4	0.01491	0.01504	-0.00088
C12ORF5	0.00503	0.01363	0.0009
C12ORF10	0.00439	0.01073	0.00009
C12ORF23	0.01332	-0.00023	-0.00034
C12ORF29	0.01716	0.00161	-0.00298
C12ORF35	0.00876	-0.00316	0.00572
C12ORF43	0.00123	-0.01199	0.00598
C12ORF44	0.0073	-0.00305	-0.00394
C12ORF57	-0.01813	-0.00353	0.00663
C12ORF65	-0.0111	-0.00022	0.01091
C14ORF1	0.00946	0.03576	-0.00909
C14ORF2	-0.00203	0.0006	-0.01017
C14ORF23	0.00053	-0.01001	0.00472
C14ORF43	0.01857	-0.01721	0.01194
C14ORF118	-0.01215	0.00875	0.00798
C14ORF119	0.00703	0.00862	-0.00785
C14ORF132	0.02593	0.01488	0.01383
C14ORF133	0.0085	0.01691	0.00279
C14ORF135	0.00242	0.00794	0.00207
C14ORF159	0.01909	0.00482	-0.00466
C14ORF166	-0.00405	0.00439	-0.00383
C15ORF24	-0.01088	0.00601	0.00311
C15ORF29	-0.02269	0.00126	0.00472
C15ORF41	-0.00131	0.01497	0.0011
C15ORF44	-0.00227	0.0297	0.00361
C15ORF52	0.02149	-0.00048	0.00968
C15ORF57	-0.00823	0.00348	0.0061
C16ORF45	-0.01284	0.00494	0.00124
C16ORF57	0.01686	0.0291	-0.01759
C16ORF62	0.01682	0.00895	-0.00673
