	Cell1	Cell2	Cell3	Cell4	Cell5	Cell6	Cell7	Cell8	Cell9	Cell10	Cell11	Cell12	Cell13	Cell14	Cell15	Cell16	Cell17	Cell18	Cell19	Cell20	Cell21	Cell22	Cell23	Cell24	Cell25	Cell26	Cell27	Cell28	Cell29	Cell30	Cell31	Cell32	Cell33	Cell34	Cell35	Cell36	Cell37	Cell38	Cell39	Cell40	Cell41	Cell42	Cell43	Cell44	Cell45	Cell46	Cell47	Cell48	Cell49	Cell50	Cell51	Cell52	Cell53	Cell54	Cell55	Cell56	Cell57	Cell58	Cell59	Cell60	Cell61	Cell62	Cell63	Cell64	Cell65
STUB1	0.76	0.50	0.03	0.68	0.34	0.30	0.40	0.92	0.31	0.69	0.89	0.87	0.79	0.70	0.72	0.56	0.05	0.70	0.67	0.63	0.91	0.42	0.23	0.34	0.70	0.10	0.37	0.52	0.36	0.93	0.45	0.70	0.36	0.05	0.77	0.65	0.69	0.26	0.83	0.10	0.43	0.29	0.14	0.61	0.55	0.56	0.17	0.29	0.38	0.79	0.18	0.48	0.57	0.02	0.33	0.95	0.32	0.74	0.26	0.91	0.48	0.90	0.94	0.18	0.50
TMEM8	0.81	0.49	0.07	0.42	0.86	0.79	0.92	0.29	0.78	0.78	0.99	0.34	0.31	0.07	0.60	0.35	0.80	0.89	0.55	0.02	0.21	0.91	0.11	0.14	0.27	0.51	0.26	0.67	0.80	0.62	0.22	0.01	0.35	0.47	0.86	0.96	0.69	0.17	0.05	0.12	0.55	0.14	0.96	0.99	0.38	0.69	0.21	0.61	0.19	0.23	0.65	0.53	0.61	0.29	0.32	0.85	0.57	0.75	0.00	0.28	0.91	0.90	0.26	0.84	0.29
ERGIC1	0.53	0.71	0.27	0.95	0.99	0.19	0.95	0.31	0.05	0.54	0.20	0.81	0.50	0.88	0.46	0.38	0.20	0.32	0.99	0.71	0.53	0.00	0.75	0.99	0.67	0.76	0.49	0.14	0.36	0.47	0.35	0.66	0.62	0.94	0.03	0.77	0.97	0.85	0.70	0.31	0.52	0.91	0.94	0.23	0.01	0.01	0.62	0.85	0.97	0.85	0.89	0.42	0.88	0.45	0.88	0.70	0.94	0.24	0.61	0.96	0.87	0.93	0.65	0.02	0.75
2900010M23RIK	0.34	0.47	0.44	0.02	0.84	0.03	0.15	0.37	0.95	0.11	0.29	0.73	0.08	0.03	0.96	0.94	0.96	0.17	0.92	0.74	0.63	0.04	0.55	0.84	0.88	0.07	0.22	0.59	0.99	0.10	0.33	0.21	1.00	0.89	0.96	0.08	0.45	0.94	0.16	0.67	0.15	0.15	0.49	0.74	0.21	0.43	0.37	0.77	0.19	0.53	0.78	0.27	0.08	0.32	0.36	0.11	0.50	0.53	0.72	0.06	0.20	0.11	0.13	0.96	0.02
4930523C07RIK	0.56	0.64	0.52	0.93	0.84	0.11	0.94	0.36	0.69	0.18	0.53	0.04	0.06	0.67	1.00	0.51	0.73	0.42	0.95	0.86	0.56	0.56	0.06	0.68	0.85	0.40	0.35	0.71	0.40	0.53	0.92	0.80	0.98	0.54	0.04	0.28	0.63	0.75	0.25	0.66	0.62	0.53	0.88	0.45	0.33	0.05	0.55	0.38	0.62	0.33	0.95	0.66	0.70	0.60	0.42	0.86	0.93	0.50	0.27	0.45	0.92	0.54	0.62	0.94	0.85
NUDT3	0.06	0.72	0.95	0.46	0.22	0.15	0.34	0.54	0.77	0.11	0.25	0.68	0.89	0.63	0.57	0.76	0.13	0.64	0.14	0.63	0.26	0.79	0.40	0.54	0.97	0.67	0.12	0.80	0.66	0.28	0.53	0.03	0.94	0.92	0.94	0.40	0.90	0.59	0.87	0.16	0.71	0.01	0.10	0.69	0.30	0.86	0.44	0.53	0.88	0.41	0.08	0.42	0.63	0.72	0.35	0.51	0.43	0.18	0.94	0.93	0.74	0.01	0.44	0.14	0.40
DEF6	0.37	0.94	0.05	0.41	0.01	0.17	0.73	0.13	0.97	0.98	0.04	0.74	0.85	0.22	0.99	0.06	0.70	0.30	0.49	0.87	0.82	0.57	0.01	0.50	0.53	0.04	0.09	0.49	0.19	0.08	0.50	0.82	0.57	0.72	0.96	0.12	0.88	0.92	0.20	0.07	0.77	0.52	0.80	0.17	0.62	0.40	0.98	0.90	0.18	0.80	0.96	0.61	0.45	0.01	0.70	0.34	0.32	0.06	0.51	0.70	0.86	0.94	0.59	0.45	0.93
GAS5	0.65	0.97	0.59	0.11	0.01	0.08	0.00	0.10	0.54	0.70	0.31	0.40	0.66	1.00	0.91	0.24	0.99	0.84	0.81	0.55	0.53	0.65	0.93	0.61	0.37	0.90	0.85	0.97	0.11	0.05	0.77	0.15	0.42	0.22	0.95	0.67	0.82	0.19	0.63	0.13	0.06	0.73	0.16	0.22	0.86	0.99	0.38	0.66	0.92	0.89	0.84	0.55	0.97	0.43	0.98	0.43	0.41	0.33	0.00	0.65	0.83	0.40	0.29	1.00	0.31
CPNE5	0.35	0.12	0.56	0.47	0.97	0.71	0.74	0.95	0.53	0.59	0.60	0.80	0.62	0.42	0.46	0.75	0.09	0.17	0.14	0.30	0.73	0.21	0.45	0.35	0.61	0.61	0.80	0.82	0.64	0.24	0.09	0.09	0.57	0.83	0.85	0.02	0.49	0.27	0.30	0.13	0.45	0.24	0.73	0.99	0.56	0.20	0.72	0.66	0.20	0.15	0.89	0.69	0.68	0.22	0.55	0.33	0.40	0.50	0.31	0.86	0.76	0.79	0.77	0.34	0.72
ZFAND3	0.89	0.22	0.33	0.05	0.12	0.74	0.33	0.58	0.07	0.64	0.31	0.11	0.83	0.56	0.29	0.40	0.13	0.19	0.19	0.49	0.82	0.71	0.81	0.99	0.32	0.12	0.98	0.48	0.75	0.21	0.45	0.51	0.86	0.28	0.84	0.88	0.01	0.68	0.91	0.04	0.80	0.75	0.34	0.93	0.16	0.24	0.43	0.30	0.76	0.40	0.75	0.84	0.86	0.44	0.52	0.07	0.26	0.39	0.53	0.21	0.23	0.46	0.97	0.77	0.64
KLHL20	0.37	0.45	0.48	0.02	0.66	0.07	0.67	0.10	0.27	0.02	0.09	0.13	0.27	0.20	0.19	0.53	0.34	0.02	0.98	0.54	0.68	0.51	0.92	0.02	0.44	0.71	0.10	0.53	0.96	0.24	0.06	0.58	0.30	0.64	0.89	0.20	0.02	0.13	0.79	0.14	0.41	0.26	0.66	0.77	0.40	0.72	0.33	0.04	0.46	0.99	0.11	0.90	0.27	0.42	0.94	0.41	0.04	0.84	0.25	0.30	0.40	0.29	0.85	0.81	0.73
AKAP8	0.37	0.24	0.93	0.94	0.67	0.17	0.60	0.74	0.95	0.04	0.00	0.53	0.24	0.42	0.40	0.31	0.30	0.43	0.09	0.20	0.72	0.24	0.06	0.43	0.49	0.21	0.74	0.26	0.03	0.82	0.40	0.38	0.96	0.34	0.64	0.05	0.33	0.88	0.08	0.33	0.29	0.34	0.95	0.33	0.00	0.14	0.60	0.20	0.20	0.58	0.15	0.86	0.67	0.64	0.93	0.76	0.98	0.75	0.87	0.97	0.50	0.37	0.89	0.27	0.81
ZFP870	0.14	0.95	0.28	0.16	0.19	0.39	0.18	0.56	0.11	0.44	0.60	0.46	0.93	0.63	0.54	0.24	0.68	0.47	0.01	0.58	0.28	0.67	0.87	0.40	0.28	0.77	0.43	0.93	0.26	0.29	0.18	0.57	0.73	0.03	0.52	0.95	0.69	0.81	0.17	0.36	0.46	0.14	0.95	0.44	0.65	0.22	0.74	0.70	0.32	0.75	0.82	0.66	0.14	0.78	0.95	0.77	0.72	0.92	0.59	0.85	0.23	0.41	0.88	0.35	0.07
2-Mar	0.11	0.85	0.56	0.33	1.00	0.73	0.98	0.52	0.79	0.18	0.38	0.26	0.85	0.21	0.41	0.63	0.16	0.52	0.91	0.77	0.41	0.91	0.84	0.77	0.89	0.15	0.23	0.32	0.07	0.57	0.78	0.77	0.97	0.74	0.16	0.60	0.90	0.21	0.81	0.98	0.31	0.51	0.75	0.96	0.24	0.28	0.08	0.98	0.05	0.57	0.22	0.66	0.29	0.37	0.89	0.25	0.24	0.78	0.94	0.60	0.69	0.77	0.03	0.42	0.34
RGL2	0.83	0.71	0.30	0.03	0.03	0.55	0.85	0.25	0.77	0.06	0.75	0.22	0.35	0.89	0.86	0.74	0.93	0.53	0.52	0.61	0.59	0.77	0.84	0.36	0.69	0.02	0.60	0.20	0.60	0.01	0.53	0.25	0.26	0.98	0.25	0.65	0.38	0.83	0.02	0.38	0.19	0.44	0.81	0.13	0.37	0.86	0.80	0.64	0.01	0.39	0.40	0.62	0.92	0.89	0.76	0.85	1.00	0.85	0.51	0.79	0.86	0.03	0.03	0.04	0.05
H2-KE6	0.60	1.00	0.88	0.89	0.92	0.91	0.33	0.98	0.93	0.24	0.22	0.25	0.18	0.93	0.96	0.39	0.21	0.75	0.23	0.01	0.46	0.99	0.66	0.83	0.96	0.95	0.19	0.52	0.24	0.32	0.77	0.90	0.43	0.25	0.44	0.84	0.56	0.98	0.84	0.36	0.58	0.13	0.99	0.76	0.22	0.66	0.95	0.49	0.20	0.73	0.03	0.13	0.97	0.33	0.67	0.01	0.98	0.27	0.97	0.42	0.40	0.21	0.72	0.81	0.98
PSMB9	0.40	0.81	0.21	0.32	0.72	0.72	0.05	0.42	0.39	0.85	0.85	0.21	0.53	0.37	0.26	0.69	0.53	0.27	0.24	0.90	0.82	0.46	0.59	0.15	0.04	0.11	0.25	0.32	0.38	0.81	0.89	0.56	0.32	0.63	0.43	0.59	0.12	0.25	0.93	0.82	0.63	0.85	0.60	0.40	0.52	0.60	0.70	0.23	0.70	0.93	0.29	0.85	0.15	0.63	0.98	0.35	0.17	0.27	0.93	0.15	0.22	0.67	0.32	0.40	0.73
H2-EB1	0.81	0.13	0.69	0.84	0.20	0.45	0.11	0.03	0.84	0.58	0.15	0.99	0.23	0.92	0.65	0.87	0.80	0.39	0.30	0.49	0.79	0.46	0.84	0.57	0.73	0.20	0.97	0.29	0.10	0.37	0.36	0.79	0.68	0.90	0.64	0.94	0.60	0.42	0.43	0.13	0.83	0.21	0.10	0.42	0.43	0.30	0.52	0.47	0.37	0.97	0.49	0.61	0.75	0.13	0.78	0.67	0.88	0.81	0.82	0.97	0.64	0.46	0.83	0.64	0.02
PPT2	0.11	0.65	0.63	0.14	0.43	0.68	0.24	0.00	0.26	0.83	0.69	0.30	0.74	0.34	0.68	0.84	0.70	0.53	0.61	0.41	0.82	0.65	0.45	0.89	0.03	0.65	0.45	0.73	0.58	0.52	0.43	0.34	0.78	0.28	0.96	0.15	0.59	0.90	0.05	0.38	0.60	0.18	0.45	0.85	0.35	0.85	0.00	0.36	0.32	0.58	0.93	0.42	0.35	0.93	0.06	0.74	0.68	0.73	0.60	0.12	0.92	0.71	0.21	0.03	0.97
EHMT2	0.32	0.57	0.77	0.27	0.13	0.85	0.05	0.09	0.76	0.82	0.69	0.47	0.06	0.53	0.92	0.43	0.64	0.61	0.73	0.52	0.72	0.77	0.72	0.43	0.30	0.91	0.17	0.57	0.14	0.90	0.99	0.99	0.86	0.99	0.69	0.10	0.79	0.42	0.18	0.67	0.15	0.35	0.36	0.67	0.17	0.17	0.64	0.53	0.83	0.20	0.49	0.15	0.77	0.63	0.90	0.28	0.86	0.14	0.48	0.74	0.10	0.77	0.89	0.02	0.10
ABHD16A	0.44	0.85	0.82	0.95	0.24	0.21	0.50	0.74	0.67	0.65	0.15	0.20	0.07	0.33	0.71	0.01	0.93	0.36	0.73	0.48	0.97	0.36	0.57	0.99	0.08	0.82	0.87	0.58	0.63	0.29	0.40	0.93	0.42	0.50	0.12	0.83	0.85	0.32	0.10	0.01	0.74	0.51	0.01	0.73	0.87	0.45	0.63	0.76	0.51	0.59	0.84	0.31	0.20	0.32	0.89	0.64	0.36	0.32	0.07	0.28	0.87	0.90	0.88	0.99	0.44
TNF	0.05	0.94	0.86	0.96	0.84	0.64	0.98	0.47	0.56	0.32	0.73	0.99	0.06	0.73	0.05	0.96	0.54	0.10	0.43	0.61	0.69	0.36	0.44	0.99	0.51	0.79	0.86	0.47	0.58	0.56	0.85	0.29	0.87	0.32	0.18	0.90	0.66	0.02	0.08	0.79	0.86	0.78	0.27	0.01	0.23	0.34	0.88	0.30	0.81	0.55	0.17	0.41	0.93	0.39	0.67	0.35	0.26	0.04	0.14	0.50	0.36	0.99	0.94	0.56	0.73
H2-Q7	0.73	0.01	0.53	0.85	0.26	0.20	0.79	0.93	0.89	0.87	0.25	0.91	0.37	0.34	0.95	0.58	0.22	0.05	0.66	0.91	0.77	0.44	0.06	0.67	0.11	0.78	0.28	0.35	0.26	0.04	0.57	0.75	0.39	0.26	0.74	0.48	0.41	0.04	0.45	0.36	0.58	0.12	0.18	0.45	0.39	0.98	0.83	0.18	0.31	0.46	0.29	0.40	0.08	0.57	0.11	0.21	0.87	0.73	0.75	0.57	0.76	0.73	0.74	0.49	0.71
DHX16	0.98	0.09	0.05	0.98	0.60	0.36	1.00	0.71	0.32	0.27	0.94	0.27	0.59	0.11	0.02	0.68	0.00	0.07	0.14	0.50	0.30	0.11	0.61	0.73	0.73	0.58	0.05	0.75	0.81	0.58	0.52	0.96	0.18	0.65	0.45	0.36	0.86	0.95	0.63	0.95	0.92	0.16	0.86	0.65	0.59	0.56	0.48	0.66	0.79	0.51	0.54	0.49	0.97	0.08	1.00	0.71	0.86	0.89	0.28	0.30	0.26	0.24	0.29	0.79	0.68
H2-T23	0.50	0.16	0.90	0.24	0.65	0.48	0.17	0.75	0.86	0.86	0.16	0.78	0.20	0.59	0.90	0.00	0.26	0.06	0.34	0.82	0.71	0.61	0.74	0.73	0.78	0.98	0.01	0.15	0.67	0.14	0.49	0.29	0.16	0.53	0.83	0.18	0.31	0.17	0.68	0.46	0.61	0.84	0.11	0.93	0.26	0.93	0.63	0.89	0.59	0.07	0.04	0.73	0.82	0.73	0.76	0.83	0.68	0.55	0.71	0.88	0.64	0.36	0.93	0.85	0.24
ZNRD1	0.75	0.76	0.78	0.72	0.11	0.92	0.03	0.00	0.41	0.15	0.55	0.10	0.34	0.24	0.70	0.93	0.79	0.97	0.60	0.17	0.02	0.85	0.41	0.21	0.78	0.26	0.72	0.66	0.74	0.60	0.76	0.50	0.78	0.39	0.98	0.29	0.20	0.18	0.16	0.03	0.30	0.25	0.32	0.29	0.02	0.19	0.12	0.76	0.35	0.17	0.31	0.22	0.95	0.80	0.93	0.69	0.75	0.87	0.06	0.86	0.95	0.63	0.92	0.44	0.08
MUT	0.27	0.95	0.65	0.60	0.01	0.01	0.88	0.96	0.85	0.97	0.85	0.43	0.33	0.28	0.62	0.68	0.31	0.30	0.85	0.56	0.40	0.20	0.46	0.19	0.36	0.40	0.37	0.95	0.74	0.50	0.20	0.71	0.20	0.35	0.05	0.04	0.80	0.42	0.70	0.88	0.84	0.43	0.83	0.12	0.74	0.38	0.34	0.45	0.41	0.41	0.72	0.14	0.54	0.42	0.92	0.24	0.44	0.37	0.30	0.38	0.06	0.99	0.09	0.75	0.33
B230354K17RIK	0.87	0.49	0.38	0.13	0.51	0.61	0.09	0.41	0.45	0.99	0.04	0.88	0.33	0.71	0.09	0.63	0.55	0.31	0.51	0.10	0.63	0.13	0.03	0.39	0.74	0.32	0.71	0.07	0.80	0.16	0.37	0.03	0.08	0.51	0.87	0.65	0.04	0.90	0.50	0.64	0.47	0.35	0.39	0.54	0.14	0.71	0.49	0.57	0.08	0.84	0.77	0.55	0.72	0.62	0.89	0.26	0.80	0.82	0.75	0.29	0.35	0.68	0.04	0.19	0.11
MRPL14	0.33	0.98	0.11	0.90	0.86	0.31	0.07	0.57	0.86	0.04	0.50	0.61	0.98	0.38	0.74	0.96	0.79	0.66	0.50	0.66	0.19	0.76	0.02	0.71	0.20	0.26	0.82	0.61	0.25	0.31	0.93	0.55	0.32	0.85	0.03	0.94	0.63	0.79	0.37	0.64	0.02	0.18	0.85	0.72	0.50	0.12	0.09	0.36	0.77	0.05	0.06	0.49	1.00	0.58	0.76	0.50	0.90	0.34	0.67	0.07	0.03	0.91	0.96	0.82	0.67
ABCC10	0.71	0.69	0.66	0.76	0.25	0.98	0.21	0.56	0.40	0.01	0.27	0.34	0.13	0.17	0.34	0.67	0.07	0.83	0.38	0.47	0.95	0.34	0.73	0.89	0.52	0.75	0.17	0.67	0.46	0.07	0.80	0.57	0.90	0.23	0.74	0.54	0.13	0.50	0.20	0.14	0.34	0.68	0.84	0.10	0.56	0.89	0.20	0.91	0.81	0.17	0.66	0.42	0.03	0.95	0.69	0.57	0.90	0.57	0.99	0.44	0.12	0.41	0.75	0.56	0.68
MEA1	0.46	0.75	0.21	0.63	0.29	0.63	0.69	0.83	0.60	0.51	0.44	0.23	0.29	0.21	0.33	0.21	0.69	0.42	0.03	0.06	0.65	0.96	0.88	0.43	0.33	0.98	0.37	0.34	0.05	0.97	0.87	0.04	0.12	0.37	0.06	0.87	0.78	0.93	0.23	0.22	0.54	0.47	0.88	0.30	0.53	0.20	0.72	0.91	0.53	0.26	0.14	0.11	0.85	0.73	0.99	0.19	0.03	0.74	0.05	0.90	0.43	0.78	0.14	0.35	0.14
TRERF1	0.03	0.18	0.60	0.48	0.94	0.10	0.35	0.45	0.22	0.68	0.08	0.35	0.72	0.42	0.58	0.79	0.28	0.08	0.19	1.00	0.51	0.25	0.74	0.48	0.09	0.48	0.65	0.30	0.09	0.34	0.34	0.04	0.67	0.96	0.89	0.54	0.98	0.06	0.86	0.03	0.53	0.40	0.25	0.57	0.61	0.23	0.68	0.30	0.87	0.71	0.23	0.49	0.63	0.78	0.19	0.46	0.53	0.73	0.88	0.15	0.52	0.85	0.39	0.57	0.11
A530064D06RIK	0.38	0.68	0.67	0.28	0.01	0.07	0.14	0.58	0.75	0.18	0.62	0.59	0.63	0.19	0.10	0.90	0.35	0.26	0.51	0.11	0.66	0.93	0.24	0.86	0.52	0.40	0.71	0.99	0.90	0.32	0.25	0.51	0.05	0.24	0.58	0.12	0.47	0.72	0.30	0.43	0.67	0.53	0.13	0.90	0.73	0.15	0.92	0.04	0.57	0.05	0.07	0.97	0.77	0.22	0.09	0.64	0.49	0.73	0.37	0.59	0.50	0.82	0.83	0.08	0.79
DAAM2	0.83	0.95	0.71	0.19	0.62	0.03	0.46	0.32	0.13	0.29	0.70	0.51	0.42	0.65	0.20	0.16	0.80	0.13	0.70	0.97	0.73	0.02	0.41	0.22	0.62	0.60	0.97	0.36	0.79	0.26	0.88	0.65	0.67	0.43	0.18	0.36	0.12	0.98	0.03	0.97	0.67	0.19	0.19	0.33	0.66	0.55	0.63	0.50	0.64	0.36	0.32	0.21	0.13	0.79	0.64	0.84	0.52	0.56	0.84	0.18	0.32	0.44	0.20	0.57	0.14
POT1B	0.72	0.18	0.73	0.46	0.56	0.80	0.36	0.87	0.78	0.23	0.50	0.26	0.75	0.82	0.95	0.33	0.80	0.66	0.38	0.03	0.07	0.23	0.79	0.47	0.08	0.91	0.91	0.64	0.35	0.07	0.19	0.15	0.05	0.19	0.95	0.33	0.31	0.83	0.19	0.35	0.05	0.48	0.30	0.24	0.00	0.90	0.84	0.95	0.62	0.93	0.63	0.40	0.99	0.60	0.76	0.12	0.56	0.31	0.58	0.05	0.52	0.77	0.24	0.97	0.04
SH3GL1	0.39	0.38	0.61	0.33	0.12	0.03	0.83	0.56	0.51	0.83	0.80	0.43	0.32	0.56	0.40	0.31	0.69	0.57	0.35	0.87	0.20	0.57	0.19	0.21	0.66	0.68	0.84	0.20	0.59	0.84	0.50	0.75	0.63	0.11	0.33	0.48	0.47	0.03	0.53	0.37	0.72	0.08	0.41	0.78	0.83	0.06	0.91	0.53	0.50	0.82	0.62	0.52	0.67	0.89	0.88	0.56	0.05	0.12	0.78	0.72	0.87	0.35	0.11	0.30	0.68
TIPRL	0.52	0.44	0.70	0.28	0.57	0.57	0.51	0.89	0.42	0.88	0.07	0.68	0.82	0.97	0.49	0.09	0.03	0.21	0.22	0.55	0.18	0.40	0.52	0.04	0.37	0.15	0.93	0.02	0.96	0.42	0.42	0.42	0.04	0.18	0.33	0.32	0.86	0.20	0.18	0.77	0.83	0.25	0.46	0.66	0.03	0.85	0.24	0.47	0.25	0.40	0.87	0.11	0.09	0.18	0.29	0.19	0.77	0.76	0.28	0.03	0.30	0.29	0.03	0.10	0.91
