	ICA	ISOMap	MDS	PCA: 1,2	PCA: 1,3	PCA: 2,3	RBF Kernel PCA	Spectral Embedding	tSNE10	tSNE30
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.7998	0.79906	0.80899	0.79631	0.80642	0.79454	0.7564	0.79716	0.79806	0.79942
HALLMARK_ANGIOGENESIS	0.77726	0.76909	0.76565	0.77573	0.75909	0.78678	0.75308	0.77032	0.77211	0.77421
HALLMARK_MYC_TARGETS_V1	0.78149	0.78611	0.78557	0.7968	0.79322	0.75373	0.75172	0.78776	0.80546	0.8015
HALLMARK_MYC_TARGETS_V2	0.76096	0.75664	0.7677	0.75684	0.75922	0.7646	0.74706	0.75705	0.7706	0.76395
HALLMARK_HYPOXIA	0.79985	0.79371	0.82918	0.82129	0.8143	0.79069	0.75182	0.79088	0.83073	0.83206
HALLMARK_SPERMATOGENESIS	0.75337	0.74143	0.75743	0.75183	0.75057	0.7445	0.74939	0.75391	0.7498	0.7563
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.76817	0.76978	0.79167	0.78321	0.79739	0.77908	0.74823	0.76813	0.79796	0.79395
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.86875	0.86523	0.88994	0.88752	0.87333	0.78712	0.75639	0.86265	0.88117	0.88194
HALLMARK_DNA_REPAIR	0.75244	0.74756	0.7473	0.74976	0.75679	0.75829	0.74603	0.74924	0.75385	0.74519
HALLMARK_E2F_TARGETS	0.75844	0.77038	0.76832	0.75793	0.76397	0.75879	0.75056	0.75722	0.76526	0.76697
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.81446	0.81437	0.82163	0.81801	0.81723	0.75801	0.75171	0.81967	0.82163	0.81957
HALLMARK_PROTEIN_SECRETION	0.77096	0.76548	0.76785	0.76948	0.76342	0.77314	0.75289	0.76303	0.77573	0.77545
HALLMARK_APOPTOSIS	0.86005	0.84884	0.868	0.8563	0.85793	0.76202	0.75641	0.85164	0.85433	0.85218
HALLMARK_ANDROGEN_RESPONSE	0.77467	0.78223	0.77575	0.77505	0.78017	0.76285	0.75172	0.76638	0.78611	0.78295
HALLMARK_KRAS_SIGNALING	0.75806	0.76377	0.75258	0.75801	0.75619	0.76682	0.74941	0.75535	0.76889	0.77046
HALLMARK_COMPLEMENT	0.85758	0.84909	0.86447	0.8536	0.86139	0.80826	0.75756	0.85315	0.85199	0.849
HALLMARK_APICAL_JUNCTION	0.79346	0.77897	0.78747	0.789	0.7952	0.76152	0.75134	0.79117	0.78294	0.78121
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.80734	0.81313	0.80845	0.80892	0.81327	0.76424	0.75275	0.79556	0.81617	0.81938
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.7639	0.76531	0.77247	0.76221	0.75854	0.75707	0.75287	0.75991	0.76902	0.76569
HALLMARK_G2M_CHECKPOINT	0.75857	0.76053	0.76025	0.76227	0.75584	0.76234	0.75062	0.75051	0.76318	0.75921
HALLMARK_APICAL_SURFACE	0.75668	0.75495	0.75166	0.76077	0.75306	0.74727	0.75178	0.75601	0.75912	0.76058
HALLMARK_XENOBIOTIC_METABOLISM	0.83801	0.81978	0.8319	0.82581	0.83701	0.80635	0.75406	0.83413	0.83365	0.83237
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.75826	0.75518	0.74748	0.7566	0.74733	0.7561	0.7505	0.75048	0.7475	0.7465
HALLMARK_GLYCOLYSIS	0.777	0.76849	0.7855	0.76725	0.77501	0.76304	0.75457	0.77061	0.78477	0.78892
HALLMARK_UV_RESPONSE	0.76159	0.75819	0.76975	0.75533	0.76385	0.76859	0.75165	0.75064	0.76346	0.76507
HALLMARK_COAGULATION	0.89451	0.88827	0.89579	0.89805	0.89268	0.82562	0.75638	0.88373	0.88532	0.88496
HALLMARK_HEDGEHOG_SIGNALING	0.74941	0.75232	0.76079	0.75619	0.76502	0.767	0.74736	0.7468	0.77243	0.77214
Zero_Proportion	0.86257	0.8389	0.89842	0.82607	0.86778	0.8357	0.75172	0.83313	0.86244	0.86224
FP_Quality	0.83054	0.81441	0.85313	0.81872	0.83117	0.79389	0.75174	0.81924	0.8319	0.83622
