	ICA	ISOMap	MDS	PCA: 1,2	PCA: 1,3	PCA: 2,3	RBF Kernel PCA	Spectral Embedding	tSNE10	tSNE30
HALLMARK_FATTY_ACID_METABOLISM	-20.83329	-12.78064	-17.97836	-14.41869	-22.36407	-6.00176	-0.10438	-16.33118	-14.42234	-15.11239
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.41125	-0.19303	-0.04419	-0.05538	-0.01932	-0.27364	-0.06512	-0.1027	-0.69195	-0.35652
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-4.59849	-5.60905	-5.26269	-4.3205	-5.51112	-4.95353	-1.25717	-4.62925	-3.62444	-3.98932
HALLMARK_ANGIOGENESIS	-1.15361	-0.72886	-0.33861	-1.08605	-0.17428	-3.24508	-0.52686	-0.74961	-0.57699	-0.70246
HALLMARK_MYC_TARGETS_V1	-2.98646	-6.34609	-1.60656	-8.33498	-4.5878	-0.03413	-0.30859	-5.2605	-9.19375	-8.01634
HALLMARK_MYC_TARGETS_V2	-0.26599	-0.20582	-0.36321	-0.17357	-0.16404	-0.44307	-0.03485	-0.18126	-0.56357	-0.28195
HALLMARK_HYPOXIA	-6.02676	-6.16208	-11.52533	-15.09337	-9.23395	-4.0658	-0.31119	-4.3493	-15.44327	-16.29975
HALLMARK_SPERMATOGENESIS	-0.10452	-0.02016	-0.13674	-0.08766	-0.05682	-0.01975	-0.12596	-0.12171	-0.04354	-0.10806
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.85252	-1.95512	-2.47289	-4.01817	-5.71052	-1.62886	-0.06548	-1.06105	-6.57154	-5.55461
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-29.15961	-32.79324	-35.3051	-42.66664	-30.1358	-3.33061	-1.25421	-29.04809	-32.55909	-34.11343
HALLMARK_DNA_REPAIR	-0.08049	-0.05603	-0.01244	-0.05627	-0.10799	-0.14294	-0.02034	-0.05374	-0.06529	-0.01261
HALLMARK_E2F_TARGETS	-0.2051	-1.3739	-0.33924	-0.22344	-0.30341	-0.15359	-0.19115	-0.19814	-0.36581	-0.45612
HALLMARK_IL6_JAK_STAT3_SIGNALING	-6.84801	-8.04488	-7.69982	-7.99769	-6.97084	-0.20498	-0.3242	-9.0004	-7.31957	-6.96217
HALLMARK_PROTEIN_SECRETION	-0.7605	-0.61481	-0.36696	-0.73936	-0.28276	-1.1549	-0.44761	-0.38209	-0.89779	-0.90356
HALLMARK_APOPTOSIS	-32.7939	-32.90979	-28.28434	-35.01537	-29.01208	-0.25682	-1.25235	-29.88195	-27.05101	-26.31422
HALLMARK_ANDROGEN_RESPONSE	-1.05799	-2.40949	-0.79195	-1.20653	-1.37413	-0.34964	-0.29572	-0.56479	-1.90125	-1.60691
HALLMARK_KRAS_SIGNALING	-0.18282	-0.51071	-0.05317	-0.19848	-0.11008	-0.58911	-0.11323	-0.14668	-0.46663	-0.57135
HALLMARK_COMPLEMENT	-23.6588	-23.97131	-22.86435	-23.54115	-24.21007	-8.95094	-1.64781	-24.1204	-18.90825	-18.35885
HALLMARK_APICAL_JUNCTION	-3.46768	-1.94214	-1.87209	-3.02274	-3.39396	-0.29458	-0.25655	-3.50625	-1.55389	-1.41732
HALLMARK_ESTROGEN_RESPONSE_EARLY	-6.20808	-9.4194	-5.15755	-7.13785	-7.06685	-0.42088	-0.4258	-4.32144	-7.3145	-8.41452
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.3663	-0.6038	-0.59214	-0.34014	-0.15403	-0.15287	-0.44605	-0.26594	-0.47281	-0.33917
HALLMARK_G2M_CHECKPOINT	-0.20612	-0.45226	-0.11655	-0.4197	-0.09197	-0.27014	-0.1949	-0.06563	-0.28226	-0.16163
HALLMARK_APICAL_SURFACE	-0.16176	-0.14557	-0.06811	-0.25636	-0.08985	-0.03949	-0.31168	-0.16296	-0.15248	-0.18052
HALLMARK_XENOBIOTIC_METABOLISM	-20.3898	-16.07726	-12.45757	-17.15981	-18.09174	-8.55418	-0.66507	-20.05512	-16.67817	-16.43026
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.18741	-0.1585	-0.03442	-0.16238	-0.03466	-0.16068	-0.19774	-0.07207	-0.03094	-0.02664
HALLMARK_GLYCOLYSIS	-1.61906	-1.14999	-1.69441	-0.76936	-1.05777	-0.29774	-0.76555	-1.0496	-2.30986	-3.05361
HALLMARK_UV_RESPONSE	-0.32312	-0.33127	-0.40108	-0.15459	-0.29845	-0.63624	-0.29494	-0.06527	-0.29535	-0.36347
HALLMARK_COAGULATION	-44.1081	-47.8877	-38.5934	-49.84148	-41.19098	-15.84666	-1.25466	-41.61995	-34.76775	-35.77586
HALLMARK_HEDGEHOG_SIGNALING	-0.05849	-0.10739	-0.19801	-0.15581	-0.33841	-0.66423	-0.0462	-0.04264	-0.59226	-0.59216
Zero_Proportion	-163.9606	-103.89516	-204.34721	-77.95391	-173.96401	-82.27462	-0.69359	-107.19347	-128.38778	-136.0723
FP_Quality	-82.92904	-56.62236	-96.51918	-65.20083	-81.66122	-22.19515	-0.69574	-76.44515	-70.39245	-83.01236
