	ICA	ISOMap	MDS	PCA: 1,2	PCA: 1,3	PCA: 2,3	RBF Kernel PCA	Spectral Embedding	tSNE10	tSNE30
HALLMARK_SPERMATOGENESIS	0.78092	0.78009	0.775	0.81082	0.8127	0.7953	0.78537	0.78489	0.7736	0.77396
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.88454	0.79776	0.83641	0.91283	0.86215	0.85765	0.8837	0.84209	0.80904	0.82632
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.875	0.84781	0.84441	0.891	0.89866	0.7979	0.86656	0.86076	0.86098	0.87114
HALLMARK_DNA_REPAIR	0.83811	0.77406	0.8296	0.88682	0.86946	0.81905	0.84249	0.8293	0.79565	0.81572
HALLMARK_E2F_TARGETS	0.80851	0.78891	0.797	0.84534	0.85098	0.81353	0.80668	0.80795	0.7754	0.78469
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.83158	0.82116	0.82123	0.86718	0.86354	0.79377	0.83058	0.83626	0.82433	0.83892
HALLMARK_PROTEIN_SECRETION	0.83265	0.81394	0.83422	0.8953	0.90752	0.82764	0.83112	0.86121	0.82115	0.83517
HALLMARK_APOPTOSIS	0.87373	0.8537	0.83417	0.91431	0.90747	0.81383	0.86702	0.88051	0.84546	0.8689
HALLMARK_ANDROGEN_RESPONSE	0.83585	0.82317	0.8058	0.87703	0.87223	0.80273	0.82835	0.84823	0.81511	0.82714
HALLMARK_KRAS_SIGNALING	0.77915	0.77698	0.78183	0.79693	0.79988	0.77795	0.78117	0.77975	0.7789	0.78605
HALLMARK_COMPLEMENT	0.87505	0.84682	0.84431	0.91907	0.91719	0.83247	0.87176	0.87873	0.85757	0.87167
HALLMARK_APICAL_JUNCTION	0.82379	0.80549	0.81519	0.8672	0.87721	0.81403	0.82504	0.83169	0.81519	0.83197
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.85796	0.85021	0.81456	0.88705	0.88551	0.81013	0.84581	0.86737	0.83918	0.86094
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.82852	0.79542	0.80977	0.86871	0.86987	0.80473	0.82313	0.83212	0.78919	0.81079
HALLMARK_G2M_CHECKPOINT	0.80486	0.77131	0.78453	0.83986	0.84242	0.82059	0.80375	0.79482	0.77571	0.78238
HALLMARK_APICAL_SURFACE	0.79539	0.76528	0.7812	0.79862	0.80349	0.75524	0.79326	0.79278	0.7812	0.78206
HALLMARK_XENOBIOTIC_METABOLISM	0.86637	0.82218	0.84967	0.91209	0.91044	0.83239	0.86436	0.86822	0.82508	0.84434
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.78172	0.76961	0.76498	0.79445	0.79175	0.76743	0.78512	0.78351	0.75859	0.77268
HALLMARK_GLYCOLYSIS	0.82148	0.78356	0.81099	0.8645	0.86087	0.79534	0.82243	0.82459	0.79558	0.80338
HALLMARK_UV_RESPONSE	0.77786	0.75385	0.74698	0.77253	0.75675	0.77344	0.77256	0.75802	0.75711	0.7699
HALLMARK_COAGULATION	0.9064	0.87688	0.85443	0.91447	0.91367	0.81771	0.89934	0.89816	0.88171	0.89063
HALLMARK_HEDGEHOG_SIGNALING	0.76151	0.76063	0.77075	0.77249	0.78537	0.75927	0.76266	0.76085	0.77328	0.76718
Zero_Proportion	0.84854	0.82061	0.83024	0.92229	0.93202	0.85344	0.84741	0.85839	0.82131	0.84212
